,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
418,19,-7,BABYMONSTER - FOREVER,3,12,,6652,-2278,0.02,115.0,,,99.0,34.0,20.0,82.0,106.0,121.0,,89.0,1.0,,,27.0,,188.0,6.0,36.0,,,5.0,,,3.0,,,3.0,,,7.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,2024-07-02
419,20,-2,BeyoncÃ© - TEXAS HOLD 'EM,142,1,(x32),6348,-804,1.762,187.0,82.0,9.0,21.0,,13.0,44.0,73.0,14.0,,10.0,,,65.0,,,,,,23.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
420,21,+2,Teddy Swims - The Door,165,17,,6237,501,0.57,38.0,9.0,,31.0,,40.0,52.0,21.0,10.0,,12.0,,,,,35.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
421,22,-1,"Jaxomy, Agatino Romero & Raffaella CarrÃ - Pedro",89,7,,5888,-378,0.686,,,12.0,,,5.0,6.0,,20.0,24.0,189.0,,,34.0,,20.0,29.0,,,,,,,4.0,,,,,,,,,11.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2024-07-02
422,23,+6,Kendrick Lamar - Not Like Us,59,5,,5372,538,0.313,4.0,61.0,,54.0,,,63.0,25.0,,,,58.0,15.0,,,,,118.0,,4.0,,,,,,,,,,17.0,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
423,24,+2,Mark Ambor - Belong Together,104,11,,5289,232,0.579,170.0,36.0,20.0,69.0,,8.0,55.0,24.0,37.0,,88.0,,,,,57.0,,,,,,,,,,7.0,,,,18.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,2024-07-02
424,25,+5,Taylor Swift - Cruel Summer,418,1,(x6),5269,588,2.784,33.0,33.0,157.0,29.0,,31.0,62.0,39.0,,,171.0,16.0,,,,,,30.0,,,,,,,,2.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,2024-07-02
425,26,-4,Jax - too young to be old,4,22,,4905,-1049,0.019,31.0,49.0,57.0,23.0,,19.0,,44.0,,,,,,,72.0,46.0,,,,,,,,,,37.0,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
426,27,-3,Coldplay - Fix You,201,24,,4879,-758,2.652,48.0,7.0,111.0,19.0,,,,10.0,,,161.0,,,48.0,,,,,,,,18.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
427,28,-3,Post Malone - I Had Some Help,55,5,,4868,-240,0.39,2.0,39.0,,6.0,,,74.0,7.0,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
