,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
109,110,-1,INI - LOUD,10,94,,1568,118,0.016,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
110,111,+26,NewJeans - How Sweet,38,21,,1563,320,0.104,,,,,55.0,,,,,,,,,,,,,42.0,,,,,,,14.0,,,,,,,,,13.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
111,112,-17,suis from Yorushika - Wakamonono Subete,11,85,,1551,-4,0.015,,,,,12.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
112,113,-10,MY FIRST STORY & HYDE - MUGEN,38,53,,1538,59,0.073,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
113,114,-30,JO1 - Believe in You,2,84,,1535,-155,0.003,,,,,5.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
114,115,+32,Tommy Richman - DEVIL IS A LIE,10,83,,1533,317,0.018,45.0,159.0,,54.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
115,116,NEW,KISS OF LIFE - Sticky,1,116,,1529,1529,0.002,,,,,,,,,,,141.0,101.0,,,,,,11.0,,,20.0,15.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2024-06-30
116,117,+58,Nickelback - Photograph,2,117,,1524,430,0.125,60.0,,,55.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
117,118,-53,Lee Young Ji - Small girl,10,32,,1512,-501,0.028,,,,,,,,,,,,32.0,,,,,,18.0,,,,,,,29.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,32.0,2024-06-30
118,119,NEW,ã¤ã³ã°ãã©ãã - Abyss,3,119,,1512,1512,0.006,,,,,28.0,,,,,,,145.0,,,43.0,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
119,120,-15,Tananai & Annalisa - STORIE BREVI,25,76,,1510,42,0.036,,,,,,,,,10.0,,,,,1.0,,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
120,121,+4,Kontra K - Erfolg ist kein GlÃ¼ck,11,71,,1486,171,0.096,,,17.0,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
121,122,-31,Creepy Nuts - Bling-Bang-Bang-Born,176,5,,1468,-165,0.484,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
122,123,+9,Shaboozey - Last Of My Kind,12,85,,1463,190,0.024,39.0,,,58.0,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
123,124,-23,Southern All Stars - Koi no Boogie-Woogie Night,7,86,,1450,-58,0.011,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
124,125,-47,Billie Eilish - LUNCH,45,4,,1449,-360,0.257,113.0,131.0,137.0,146.0,,,125.0,83.0,49.0,,,,,200.0,,134.0,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
125,126,NEW,Coldplay - Clocks,26,86,,1444,810,1.026,,18.0,,170.0,,,,,,,175.0,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
126,127,+83,Billie Eilish - BLUE,40,30,,1440,468,0.09,,,,,,,,,93.0,,,35.0,52.0,,,,,,49.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
127,128,-29,Red Velvet - Cosmic,7,18,,1415,-121,0.019,,,,,,,,,,,,14.0,,,,,,17.0,,,,,,,38.0,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,2024-06-30
128,129,NEW,Daft Punk - Get Lucky,2030,1,(x68),1408,798,10.573,,,,,,,,,,136.0,,,,,,,,,,,,69.0,15.0,110.0,,128.0,32.0,,83.0,,,,98.0,,,17.0,21.0,,,18.0,15.0,,56.0,34.0,24.0,25.0,34.0,,38.0,,15.0,,58.0,32.0,37.0,,11.0,12.0,,,2024-06-30
129,130,-11,Morgan Wallen - Cowgirls,51,97,,1402,24,0.158,19.0,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
130,131,-50,Imagine Dragons - Eyes Closed,26,5,,1394,-386,0.134,89.0,,,119.0,,82.0,,40.0,194.0,,124.0,,,135.0,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
131,132,NEW,Adele - Someone Like You,2895,1,(x51),1384,676,16.26,,,,,,,,,,128.0,,,,,,,,,,,59.0,,,108.0,153.0,,19.0,65.0,66.0,,,61.0,82.0,,,,,,41.0,,22.0,,45.0,27.0,,18.0,23.0,32.0,80.0,29.0,14.0,106.0,,26.0,16.0,37.0,5.0,,,164.0,2024-06-30
132,133,-27,GIMS & DYSTINCT - SPIDER,11,99,,1371,-97,0.042,,,,,,,17.0,,195.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
133,134,NEW,Keane - Somewhere Only We Know,31,67,,1359,512,1.008,,33.0,,134.0,,,,,,,,82.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
134,135,-22,Mori Calliope - Go-Getters,4,54,,1354,-59,0.007,,,,,25.0,,,,,,,,,,,,,118.0,,,,,,,81.0,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
135,136,-8,NewJeans - Right Now,10,28,,1351,38,0.026,,,,,43.0,,,,,,,,,,,,,49.0,,,,,,,33.0,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,119.0,2024-06-30
136,137,NEW,The Chainsmokers & Coldplay - Something Just Like This,817,2,(x59),1341,1141,6.619,,32.0,,158.0,,,,,,,,177.0,,,,,,,,141.0,,,,,,,,,,,61.0,99.0,,,,,,,,,,50.0,,,,,,,,,,,,,,,28.0,19.0,,168.0,2024-06-30
137,138,+41,Gianna Nannini - Silenzio,11,59,,1341,258,0.028,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
138,139,-23,Da-iCE - I wonder,72,104,,1341,-54,0.092,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
139,140,-29,Dua Lipa - Be the One,223,23,,1315,-107,1.74,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
140,141,-17,Mrs. Green Apple - Lilac,78,92,,1315,-26,0.108,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
141,142,NEW,Coldplay X BTS - My Universe,316,1,(x10),1290,1151,2.317,,26.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,102.0,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,2024-06-30
142,143,-46,Loreen - Tattoo,465,2,(x3),1286,-259,1.968,,,,,,,38.0,,65.0,26.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
143,144,+50,Rema & Selena Gomez - Calm Down,651,3,(x4),1285,262,3.85,,181.0,,,,,,154.0,,,,27.0,68.0,,,,,79.0,,,,,,,,,,15.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,2024-06-30
144,145,+56,Morgan Wallen - Last Night,504,14,,1275,269,1.549,51.0,,,86.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
145,146,NEW,Adele - Rolling In the Deep,2618,1,(x1),1268,710,16.932,,,,,,,,,,129.0,,,,,,,77.0,,,,,,,119.0,165.0,,,110.0,70.0,,85.0,65.0,78.0,73.0,,,,,34.0,,31.0,,38.0,25.0,,11.0,28.0,,47.0,,19.0,,,27.0,24.0,,6.0,32.0,71.0,176.0,2024-06-30
146,147,+73,Sia - Unstoppable,1449,3,(x7),1266,328,6.313,131.0,196.0,152.0,131.0,,45.0,,117.0,,,,,,,,99.0,,,,,,,,,,,,105.0,,,,,,,69.0,,,,,,,28.0,,,,,,,76.0,,,,,,28.0,,,,,89.0,2024-06-30
147,148,-44,Bailey Zimmerman - New To Country,3,88,,1265,-204,0.004,36.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
148,149,-29,Momoiro Clover Z - Renacer Serenade,4,93,,1265,-103,0.006,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
149,150,-62,Joost - Europapa,120,24,,1258,-395,0.237,,,,,,,9.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
150,151,+42,Roxy Dekker - Sugardaddy,85,100,,1254,226,0.11,,,,,,,16.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
151,152,-21,Guns N' Roses - Sweet Child o' Mine,122,8,,1249,-30,1.932,135.0,155.0,102.0,,,,,,,49.0,,,,,65.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
152,153,+35,Roland Kaiser - Mein Geheimnis,10,48,,1247,206,0.018,,,23.0,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
153,154,-19,"Kenshi Yonezu - Sayonara, Mata Itsuka - Sayonara",85,61,,1241,-24,0.125,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
154,155,-59,ZERB & Sofiya Nzau - Mwaki,208,18,,1232,-316,0.6,,,69.0,,,,43.0,,180.0,,,,,119.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
155,156,-27,Slimane - Mon amour,124,7,,1230,-71,0.348,,,,,,,44.0,,45.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
156,157,+1,NewJeans - Bubble Gum,32,26,,1230,82,0.077,,,,,42.0,,,,,,,,,,,,,75.0,,,,,,,36.0,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
157,158,NEW,Zach Bryan - I Remember Everything,291,16,,1227,480,0.796,49.0,,,89.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
158,159,-11,Bankzitters - Huisfeestje,22,100,,1226,30,0.03,,,,,,,25.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
159,160,-33,"Aimyon - Wish I could see you, but",51,72,,1217,-98,0.072,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
160,161,-7,Zaho de Sagazan - La symphonie des Ã©clairs,111,62,,1215,44,0.262,,,,,,,,,31.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
161,162,-77,The Kolors - KARMA,23,74,,1213,-458,0.055,,,,,,,,,33.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
162,163,-76,Dua Lipa - Illusion,69,5,,1209,-458,0.222,168.0,31.0,,,,,,125.0,,,,,,,,151.0,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
163,164,+16,Sakurazaka46 - Jigoujitoku,11,91,,1193,110,0.02,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
164,165,NEW,Bruno Mars - When I Was Your Man,724,3,(x5),1188,592,7.268,,,,,,,,,,,,189.0,,,154.0,,,,,,,68.0,41.0,129.0,182.0,133.0,,,98.0,67.0,49.0,146.0,,64.0,,23.0,19.0,10.0,,13.0,,,,,11.0,,,41.0,,18.0,,,11.0,46.0,93.0,,,,,,2024-06-30
165,166,NEW,Adele - Set Fire To The Rain,1314,2,(x3),1187,610,11.774,,,,,,,,,,141.0,,,,,69.0,,,,,,,,,109.0,,,24.0,72.0,68.0,,,70.0,79.0,,,,,,38.0,,,,41.0,29.0,,41.0,41.0,,,,29.0,,,42.0,23.0,50.0,17.0,,,,2024-06-30
166,167,NEW,Sia - Chandelier,1346,3,(x2),1182,605,8.588,,,,,,,,,,144.0,,,,,179.0,,,,,147.0,,135.0,75.0,,,,,88.0,91.0,,88.0,77.0,,76.0,,18.0,26.0,21.0,54.0,,18.0,80.0,111.0,,,,19.0,39.0,,9.0,35.0,18.0,74.0,,42.0,48.0,23.0,,61.0,,2024-06-30
167,168,-2,Moneybagg Yo - WHISKEY WHISKEY,17,55,,1178,43,0.026,24.0,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
168,169,-61,"Majestic, The Jammin Kid & CÃ©line Dion - Set My Heart On Fire",48,19,,1175,-288,0.086,,24.0,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
169,170,-55,Ofenbach - Overdrive,262,7,,1171,-230,1.073,,,52.0,,,56.0,,,68.0,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
170,171,-22,Omoinotake - Ikuokukonen,140,94,,1170,-23,0.194,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
171,172,-15,Cody Johnson - Dirt Cheap,25,106,,1164,9,0.118,25.0,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
172,173,-97,Dua Lipa - Dance The Night,388,1,(x16),1161,-659,2.49,,77.0,,56.0,,,,137.0,,,,99.0,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
173,174,NEW,Jessie Ware & Romy - Lift You Up,1,174,,1150,1150,0.001,,59.0,,,,,199.0,,,98.0,,,,,,94.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,2024-06-30
174,175,+24,La Fuente - Ratata,65,107,,1150,138,0.104,,,,,,,21.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
175,176,-30,Kocchi No Kento - Hai Yorokonde,4,133,,1148,-69,0.01,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
176,177,-111,"David Guetta, Girl On Couch & Billen Ted - Man In Finance",6,66,,1142,-869,0.018,,71.0,83.0,,,,82.0,,,,,,,103.0,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
177,178,-28,Jelly Roll - Save Me,415,35,,1139,-50,0.81,31.0,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
178,179,+10,milet - hanataba,76,56,,1139,98,0.108,,,,,21.0,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
179,180,-46,Joost - Luchtballon,26,55,,1130,-140,0.039,,,,,,,11.0,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
180,181,NEW,Trueno - REAL GANGSTA LOVE,2,158,,1126,637,0.005,,,,,,,,,,17.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
181,182,-22,tuki. - Bansanka,230,81,,1125,-23,0.33,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
182,183,NEW,Taylor Swift - Love Story,249,1,(x3),1109,412,1.167,124.0,78.0,,178.0,,,,95.0,,,,,,,,,,,,,,,,67.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
183,184,+20,Mxm & Chris van Dutch - Major Tom,3,150,,1104,102,0.015,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
184,185,-13,Mrs. GREEN APPLE - Columbus,20,80,,1104,0,0.028,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
185,186,+27,"Disclosure - Sheâs Gone, Dance On",11,35,,1101,146,0.034,,48.0,,,,,,,,,,,,55.0,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
186,187,-31,Mahmood - RA TA TA,6,124,,1099,-71,0.016,,,,,,,,,52.0,,,,,6.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
187,188,NEW,Pitbull - Timber,503,1,(x21),1085,560,6.887,,,,,,185.0,,,,,,,,,166.0,,,,,136.0,,,35.0,131.0,,,,,94.0,64.0,,108.0,99.0,,,6.0,20.0,24.0,,15.0,61.0,,69.0,,8.0,33.0,29.0,26.0,,,,,19.0,,,,27.0,,,,2024-06-30
188,189,-3,Chayanne - Bailando Bachata,71,73,,1084,39,0.293,,,,,,85.0,,,34.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
189,190,-45,Dua Lipa - These Walls,9,28,,1083,-134,0.023,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
190,191,NEW,Lady Gaga & Bradley Cooper - Shallow,2021,1,(x154),1078,377,12.341,,,,,,,99.0,,,161.0,146.0,,,68.0,,,177.0,,,169.0,,136.0,,,,,,133.0,,,,60.0,,,,,,,29.0,,29.0,124.0,,42.0,,15.0,,,,,17.0,,,51.0,,,12.0,8.0,58.0,,2024-06-30
191,192,-33,"FiNCH, SDP & Phil The Beat - Abenteuerland",10,79,,1062,-86,0.014,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
192,193,-53,Alessandra Amoroso - Mezzo Rotto,23,98,,1061,-170,0.036,,,,,,,,,48.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
193,194,-13,Jelly Roll - Halfway To Hell,74,55,,1058,-17,0.155,50.0,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
194,195,NEW,Justin Timberlake - CAN'T STOP THE FEELING,1086,1,(x45),1052,652,8.191,,,,,,,,,,139.0,,,,,,,,,,151.0,47.0,,,,,148.0,,157.0,,,64.0,62.0,89.0,70.0,,36.0,,,32.0,,11.0,95.0,,,,19.0,21.0,,,,20.0,,70.0,56.0,,,8.0,11.0,,,2024-06-30
195,196,-113,Tokio Hotel - Home,3,83,,1052,-645,0.004,,,41.0,,,80.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
196,197,NEW,Chris Stapleton - Tennessee Whiskey,950,8,,1046,396,3.001,90.0,162.0,,130.0,,,,60.0,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
197,198,-72,Akina Saegusa - Wavy,2,126,,1041,-274,0.002,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
198,199,NEW,CeCe Winans - Goodness of God,31,59,,1031,485,0.294,84.0,,,,,,,,,,,,,,,,,,,29.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
199,200,-30,IVE - SUMMER FESTA,3,95,,1025,-88,0.004,,,,,76.0,,,,,,,,,,,,,,51.0,,,,,,23.0,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
200,1,=,Jimin & Loco - Smeraldo Garden Marching Band,4,1,(x4),19646,-3055,0.094,14.0,15.0,25.0,14.0,8.0,5.0,74.0,25.0,1.0,3.0,37.0,2.0,8.0,15.0,1.0,46.0,1.0,3.0,4.0,26.0,5.0,1.0,1.0,26.0,7.0,,,3.0,,,1.0,2.0,5.0,4.0,6.0,31.0,1.0,9.0,,17.0,1.0,4.0,4.0,,4.0,2.0,,5.0,1.0,,12.0,,2.0,,3.0,2.0,,,29.0,3.0,2024-07-01
201,2,+2,Benson Boone - Beautiful Things,165,1,(x31),12176,464,2.22,9.0,7.0,24.0,4.0,,7.0,15.0,6.0,9.0,8.0,7.0,,,17.0,59.0,,,,143.0,3.0,,6.0,,,,14.0,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
202,3,=,Eminem - Houdini,32,1,(x21),11941,-107,0.507,7.0,6.0,3.0,3.0,,1.0,3.0,2.0,6.0,,41.0,,,11.0,81.0,21.0,,,154.0,,,,,12.0,39.0,30.0,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
203,4,+1,Hozier - Too Sweet,102,2,(x1),11075,-396,0.903,6.0,16.0,23.0,5.0,,8.0,30.0,5.0,19.0,,25.0,38.0,,60.0,79.0,,,15.0,,25.0,,25.0,,9.0,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
204,5,+1,Coldplay - feelslikeimfallinginlove,11,1,(x1),10909,-535,0.13,84.0,1.0,4.0,18.0,,11.0,5.0,62.0,2.0,11.0,14.0,,,8.0,,17.0,,,,36.0,,28.0,,18.0,,9.0,,,,,,,22.0,,,,,,,,,,,2.0,,,,,,,,,,,106.0,,,,,,2024-07-01
205,6,+3,Shaboozey - A Bar Song,81,3,(x1),10895,296,0.723,1.0,2.0,17.0,1.0,,2.0,83.0,1.0,25.0,,,,,,,25.0,,,,1.0,,,,4.0,,1.0,,,8.0,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
206,7,+1,Sabrina Carpenter - Espresso,81,3,(x1),10880,158,0.786,17.0,19.0,19.0,13.0,,,19.0,12.0,56.0,55.0,4.0,95.0,94.0,91.0,23.0,34.0,,46.0,118.0,58.0,,,,15.0,,6.0,,13.0,3.0,,,,2.0,12.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,2024-07-01
207,8,-1,Disturbed - The Sound of Silence,1406,1,(x2),10607,-823,6.579,95.0,32.0,16.0,29.0,,35.0,8.0,29.0,3.0,7.0,1.0,,,38.0,9.0,12.0,,,138.0,11.0,,,,7.0,,,,,,,,1.0,,,,,,,1.0,,,,6.0,,,1.0,,,,,38.0,,,1.0,32.0,,40.0,1.0,54.0,,2024-07-01
208,9,+1,Teddy Swims - Lose Control,358,1,(x5),10509,-35,3.08,10.0,22.0,29.0,7.0,,9.0,25.0,10.0,15.0,38.0,18.0,,,52.0,76.0,30.0,,,32.0,,,12.0,,27.0,,27.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2024-07-01
209,10,-8,LISA - Rockstar,4,2,(x3),10381,-3314,0.063,46.0,94.0,75.0,27.0,75.0,,,86.0,,18.0,72.0,6.0,18.0,126.0,4.0,,,1.0,8.0,,3.0,4.0,3.0,20.0,3.0,,,4.0,,,2.0,,20.0,6.0,4.0,,86.0,,,,,21.0,,,,,,,23.0,1.0,10.0,,5.0,,,7.0,,,,4.0,2024-07-01
210,11,=,Billie Eilish - BIRDS OF A FEATHER,46,6,,9616,-7,0.37,19.0,18.0,42.0,12.0,,,106.0,27.0,60.0,17.0,,4.0,,,10.0,98.0,,32.0,,6.0,,24.0,,,,36.0,,,,12.0,9.0,,,7.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2024-07-01
211,12,+16,BABYMONSTER - FOREVER,2,12,,8930,4285,0.014,85.0,,122.0,56.0,27.0,27.0,,64.0,,26.0,27.0,1.0,,,6.0,123.0,38.0,5.0,23.0,,,2.0,,,2.0,,,1.0,,,3.0,,,3.0,2.0,,,,,,,120.0,,,,,,,,,,,3.0,,11.0,,,,,1.0,2024-07-01
212,13,=,Sabrina Carpenter - Please Please Please,25,9,,8531,-384,0.215,12.0,21.0,63.0,16.0,,53.0,48.0,15.0,,,,10.0,,,5.0,,,36.0,,,,,,19.0,69.0,11.0,,26.0,2.0,,26.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
213,14,=,Cyril - Stumblin' In,228,5,,8285,-462,1.614,,,6.0,9.0,,4.0,6.0,33.0,4.0,19.0,3.0,,,,29.0,4.0,,,,,,,,,,,,,,,,99.0,40.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,2024-07-01
214,15,-3,David Guetta & OneRepublic - I Don't Wanna Wait,88,3,(x1),8228,-785,0.711,163.0,20.0,15.0,17.0,,10.0,44.0,34.0,7.0,,8.0,,,,,36.0,,,,13.0,,,,14.0,,5.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
215,16,-1,Myles Smith - Stargazing,53,11,,7515,-91,0.37,30.0,3.0,51.0,6.0,,23.0,41.0,24.0,57.0,,,,,79.0,,63.0,,,,4.0,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
