,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU,AT,BE,CH,ES,NL,DK,IE,LU,NO,SE,PL,PT,TR,CZ,FI,GR,HU,RO,SI,SK,UA,BG,BY,CY,EE,LT,LV,MD,MT,DATE
163,164,-10,AYLIVA - Beifahrer,24,63,,1742,-88,0.06,,30.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
164,165,+7,Djo - End of Beginning,132,6,,1734,29,1.016,,86.0,,,,71.0,140.0,98.0,,110.0,,121.0,91.0,94.0,,,82.0,,54.0,,,,,,,,,98.0,,,,,,,2024-06-30
165,166,+4,Geolier - SI STATâ TU,24,116,,1725,0,0.049,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
166,167,+7,Nemo - The Code,53,3,(x2),1717,44,0.317,,,,,,,,7.0,,199.0,,,,57.0,60.0,,,,,44.0,,,,,,,,,77.0,85.0,34.0,80.0,,,2024-06-30
167,168,+1,The Blessed Madonna - Happier,113,83,,1692,-33,0.244,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
168,169,+6,Capo Plaza - Fino All'Alba,9,136,,1692,33,0.018,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
169,170,-9,Rudimental & Karen Harding - Bring Me Joy,3,161,,1689,-87,0.012,26.0,,,,,,,122.0,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
170,171,+2,Heuss L'enfoirÃ© - Shayo,16,75,,1678,-4,0.034,,,28.0,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
171,172,-14,ANNA - TONIGHT,3,158,,1659,-134,0.005,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
172,173,-13,"Charli xcx & Lorde - The girl, so confusing version with lorde",5,160,,1657,-119,0.013,44.0,,,,,,,88.0,,107.0,,88.0,,,,135.0,,,,144.0,,,,,,,,,,,,,,,2024-06-30
173,174,+29,Lewis Capaldi - Someone You Loved,1392,5,,1656,227,8.533,95.0,193.0,,,,148.0,128.0,53.0,,99.0,164.0,124.0,83.0,124.0,,,,,,,,,,,,,,,,,,,,72.0,2024-06-30
174,175,+10,ANNA ASTI - ÐÐ¾ Ð±Ð°ÑÐ°Ð¼,759,60,,1653,67,1.825,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,50.0,53.0,,2024-06-30
175,176,+2,Elodie - Black Nirvana,31,123,,1648,12,0.058,,,,25.0,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
176,177,+12,SDM - Bolide allemand,555,32,,1645,86,1.898,,,46.0,,,,51.0,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
177,178,-12,Big Baby Tape & Aarne - Coldest Man,3,166,,1634,-122,0.005,,,,,29.0,,,,,,,,,,,,,,,,,,,,,75.0,,,,73.0,,29.0,47.0,,2024-06-30
178,179,=,AVA - BACIO DI GIUDA,16,125,,1627,0,0.032,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
179,180,-9,Ninho - Goutte dâeau,565,39,,1620,-103,1.968,,,38.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
180,181,=,Ofenbach - Overdrive,208,22,,1599,-14,0.902,,53.0,,,,62.0,,157.0,,114.0,,,,,,,,,,,,71.0,,,,,,,,,,,,,2024-06-30
181,182,+58,Ed Sheeran - Perfect,1102,3,(x28),1593,333,7.144,158.0,,,,,164.0,119.0,109.0,192.0,75.0,92.0,195.0,50.0,72.0,96.0,138.0,,,90.0,177.0,,,,,,,,,,,,,,8.0,2024-06-30
182,183,NEW,Coldplay - Adventure of a Lifetime,20,150,,1588,791,0.367,61.0,,,,,,,200.0,,98.0,,86.0,80.0,70.0,156.0,,,,,87.0,,90.0,110.0,,,,,,,,,,,39.0,2024-06-30
183,184,-8,"Big Baby Tape, Aarne & Icegergert - Da Law",2,176,,1580,-67,0.005,,,,,30.0,,,,,,,,,,,,,,,,,,,,,96.0,,,,57.0,,32.0,67.0,,2024-06-30
184,185,-18,Ponko - Mes LovÃ©s,8,130,,1558,-190,0.016,,,64.0,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
185,186,+23,Joost - Luchtballon,16,141,,1539,139,0.04,,,,,,,54.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
186,187,NEW,5UTRA - ÐÐ°Ð²Ð°Ð¹ ÑÐ±ÐµÐ¶Ð¸Ð¼,283,70,,1536,1536,0.62,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,2024-06-30
187,188,+6,Lazza - 100 MESSAGGI,125,57,,1536,30,0.298,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
188,189,+11,The Kolors - KARMA,6,189,,1529,74,0.054,,,,28.0,,,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
189,190,+8,Ninho - Dis-moi que tu m'aimes,231,89,,1525,51,0.972,,,40.0,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
