,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
46,47,-2,Billie Eilish - LâAMOUR DE MA VIE,45,8,,3173,-169,0.345,153.0,180.0,,178.0,70.0,108.0,,,,,,,77.0,36.0,86.0,,,,,42.0,171.0,,53.0,36.0,,,152.0,21.0,69.0,121.0,,,58.0,,,13.0,102.0,,,,,94.0,5.0,56.0,60.0,5.0,,50.0,112.0,31.0,86.0,28.0,113.0,6.0,73.0,85.0,41.0,,,149.0,2024-06-30
47,48,+2,"Jaxomy, Agatino Romero & Raffaella CarrÃ - Pedro",80,41,,3167,50,0.255,,,,18.0,,,,,,,129.0,,17.0,,49.0,,,120.0,,,,,24.0,,,,,,,14.0,,4.0,189.0,,13.0,,24.0,,33.0,,,,,57.0,42.0,,,118.0,,,14.0,,,,95.0,34.0,,4.0,,,2024-06-30
48,49,-1,KAROL G - Si Antes Te Hubiera Conocido,10,47,,3044,-101,0.028,47.0,,,,,,,130.0,,32.0,,,162.0,,58.0,,1.0,1.0,,,,,126.0,,,,,,18.0,,4.0,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2024-06-30
49,50,+1,Morgan Wallen - Last Night,516,17,,3029,-54,1.936,13.0,142.0,,,21.0,11.0,,,,,,,,,,,,,,,148.0,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
50,51,-2,Billie Eilish - BLUE,45,7,,3012,-127,0.361,190.0,,,95.0,91.0,119.0,,,,,,,75.0,23.0,50.0,,,,,148.0,187.0,,49.0,53.0,,,189.0,30.0,80.0,75.0,,95.0,77.0,,58.0,18.0,91.0,,,,,36.0,14.0,27.0,49.0,38.0,,48.0,196.0,,47.0,29.0,88.0,10.0,75.0,,84.0,,77.0,143.0,2024-06-30
51,52,=,David Guetta & OneRepublic - I Don't Wanna Wait,66,49,,3006,-45,0.156,,32.0,,27.0,95.0,,39.0,,,,,,142.0,,34.0,,,,,,167.0,,150.0,,,,,,,25.0,,,68.0,,,,119.0,,,,,,,,72.0,,,74.0,,,,,,,69.0,,,,,,2024-06-30
52,53,=,NewJeans - Bubble Gum,38,38,,2860,-122,0.126,,,23.0,,,,,,7.0,,,,,,,60.0,,,24.0,,,,,,184.0,14.0,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,46.0,,,130.0,2024-06-30
53,54,+4,SZA - Snooze,569,15,,2806,125,2.35,25.0,96.0,,,151.0,141.0,,,,,,45.0,,,,,,,,38.0,,,153.0,44.0,,,61.0,45.0,,,,,,,,,,,,,58.0,,,,,26.0,,,,23.0,,,,77.0,,,72.0,,,136.0,2024-06-30
54,55,-1,Tommy Richman - DEVIL IS A LIE,15,48,,2771,-147,0.038,41.0,54.0,,,43.0,37.0,,,,,,,,,,,,,,,,,,15.0,,,57.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,2024-06-30
55,56,-1,Disturbed - The Sound of Silence,125,53,,2766,-67,0.328,,,,90.0,,,11.0,,,,,,33.0,,31.0,,,137.0,,,,,,,,,,,,114.0,,13.0,81.0,,53.0,,,,13.0,,,,,35.0,23.0,,,35.0,,,5.0,41.0,58.0,,74.0,,,11.0,46.0,,2024-06-30
56,57,+3,Taylor Swift - Anti-Hero,618,1,(x50),2737,95,5.005,,34.0,,109.0,37.0,135.0,,,,,,,170.0,165.0,113.0,,,,,170.0,7.0,,69.0,47.0,,,,,,100.0,,,144.0,,,,158.0,,,,,,,,,115.0,,125.0,,62.0,,,,,72.0,,39.0,,,,2024-06-30
57,58,-2,"Future, Metro Boomin, Travis Scott & Playboi Carti - Type Shit",85,4,,2684,-80,0.4,15.0,,,99.0,,61.0,,,,,,,,,103.0,,,,,,,,105.0,,,,108.0,29.0,,68.0,,92.0,,,,20.0,164.0,,65.0,,31.0,100.0,73.0,,81.0,,,,,,62.0,,26.0,22.0,,,,56.0,,,2024-06-30
58,59,-2,The Weeknd - Blinding Lights,1615,1,(x114),2682,-62,14.888,,93.0,,84.0,49.0,,,,,,,,52.0,83.0,41.0,,,,,,,,39.0,40.0,,,,31.0,,83.0,,52.0,87.0,,63.0,,77.0,,85.0,,,,,52.0,34.0,,,37.0,,,40.0,99.0,,74.0,43.0,,,,,,2024-06-30
59,60,-1,BABYMONSTER - SHEESH,91,24,,2617,-56,0.382,,,71.0,,,,,,26.0,,,50.0,,,,,,,29.0,31.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,30.0,,,112.0,2024-06-30
60,61,=,SZA - Saturn,129,19,,2607,-11,0.44,43.0,,,,96.0,161.0,,,,,,32.0,,,,,,,,12.0,,,,26.0,,,,33.0,,,,,,,,,,,,,,,,,,13.0,,,,20.0,,,,51.0,,,28.0,,,154.0,2024-06-30
61,62,=,NewJeans - Right Now,9,51,,2570,-37,0.025,,,26.0,,,,,,6.0,,,,,,,85.0,,,41.0,,,,,,180.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,122.0,2024-06-30
62,63,+2,Taylor Swift - Whoâs Afraid of Little Old Me,73,8,,2414,-95,0.493,178.0,47.0,,,33.0,91.0,,,,,,,,82.0,,,,,,,19.0,,81.0,50.0,,,,,77.0,,,,,,,,182.0,,,,,,50.0,,,,,146.0,,60.0,,,,,79.0,,56.0,,,,2024-06-30
63,64,+3,Zach Bryan - I Remember Everything,310,19,,2375,-66,1.064,27.0,,,,34.0,14.0,,,,,,,,,,,,,,,83.0,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,2024-06-30
64,65,-1,Red Velvet - Cosmic,6,56,,2357,-170,0.016,,,,,,,,,11.0,,,49.0,,,,,,,57.0,26.0,,,,,97.0,29.0,,,,,,,,,,,,,,,,,,,,39.0,,,,74.0,,,,,,,37.0,,,18.0,2024-06-30
65,66,-3,Post Malone - Pour Me A Drink,9,45,,2340,-220,0.028,24.0,175.0,,,40.0,18.0,,,,,,,,,,,,,,,,,,126.0,,,177.0,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,97.0,,,,,,2024-06-30
66,67,+2,Djo - End of Beginning,132,5,,2333,14,0.89,,,,86.0,69.0,95.0,,,,,,103.0,140.0,,98.0,,,,,23.0,121.0,102.0,110.0,59.0,,,169.0,46.0,,71.0,,54.0,,,,,,,,,,,90.0,,91.0,20.0,,94.0,,40.0,,82.0,,25.0,,,35.0,,,,2024-06-30
67,68,+7,Travis Scott - FEN,265,2,(x2),2241,58,1.014,110.0,,,102.0,,86.0,,,,,,,101.0,,52.0,,,,,,,61.0,40.0,200.0,,,130.0,24.0,,81.0,,70.0,,,,14.0,192.0,,91.0,,79.0,64.0,40.0,,44.0,113.0,,168.0,,,57.0,96.0,24.0,17.0,198.0,,,63.0,,174.0,2024-06-30
68,69,+10,Dua Lipa - Illusion,80,9,,2232,157,0.323,,27.0,,114.0,122.0,,119.0,,,,,,82.0,,77.0,,,,,,96.0,,36.0,,,,,,,97.0,,,67.0,,,,72.0,,,,,,72.0,,84.0,,,114.0,,,58.0,89.0,,,44.0,,89.0,,,,2024-06-30
69,70,+1,Morgan Wallen - Cowgirls,122,68,,2182,-24,0.314,14.0,,,,61.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
70,71,-1,"cassÃ¶, RAYE & D-Block Europe - Prada",320,9,,2177,-108,1.655,,51.0,,31.0,78.0,,,,,,,,49.0,,,,,,,,77.0,,63.0,,,,,,,44.0,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
71,72,+10,Taylor Swift - You Need To Calm Down,401,4,,2174,157,2.109,,49.0,,170.0,41.0,134.0,,,,,,,,,123.0,,,,,,10.0,,70.0,57.0,,,,89.0,,131.0,,,163.0,,,,168.0,,,,,,,,,165.0,,80.0,,,,,,,102.0,,54.0,,,,2024-06-30
72,73,=,Lee Young Ji - Small girl,9,72,,2169,-22,0.019,,,,,,,,,3.0,,,72.0,,,,,,,17.0,199.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,91.0,,,64.0,2024-06-30
73,74,-6,NAYEON - ABCD,16,47,,2167,-157,0.043,,,35.0,,,,,,25.0,,,,,,,,,,42.0,,,,,,138.0,16.0,,,,,,,,,,,,,,,,,,,,87.0,,,,157.0,,,,,,,29.0,,,,2024-06-30
74,75,-9,Gracie Abrams - us.,10,23,,2156,-352,0.042,,66.0,,183.0,32.0,84.0,,,,,,,,197.0,106.0,,,,,,118.0,,87.0,43.0,,,,,,,,,,,,167.0,89.0,,,,,,16.0,,,,,59.0,,192.0,,,,35.0,46.0,,25.0,,,,2024-06-30
75,76,-2,Feid & ATL Jacob - LUNA,212,53,,2132,-51,0.472,,,,,,,,,,24.0,,,,,,,4.0,10.0,,,,,,,,,,,9.0,,16.0,,,3.0,,,,,,,,,,,,,,,4.0,,,35.0,,,,,,,,,2024-06-30
76,77,+3,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",121,76,,2086,12,0.18,,,,1.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,2024-06-30
77,78,-6,Koe Wetzel & Jessie Murph - High Road,23,61,,2073,-132,0.054,16.0,,,,57.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
78,79,+18,The Kid LAROI - GIRLS,2,79,,2065,319,0.004,93.0,195.0,,,23.0,20.0,,,,,,,,,,,,,,,,,188.0,25.0,,,155.0,,,193.0,,,168.0,,,,142.0,,,,,,,,,,,185.0,,,,,,,,,,,,,2024-06-30
79,80,+1,NewJeans - Ditto,558,18,,2064,34,1.802,,,25.0,,,,,,32.0,,,,,,,87.0,,,51.0,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,100.0,,,180.0,2024-06-30
80,81,-3,Trueno - REAL GANGSTA LOVE,21,73,,2024,-54,0.045,,,,,,,,,,23.0,,,,,,,20.0,5.0,,,,,,,,,,,2.0,,6.0,,,6.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2024-06-30
81,82,+9,Jimin & Loco - Smeraldo Garden Marching Band,2,82,,2015,211,0.004,,,,,,,,,72.0,,62.0,,,10.0,,,106.0,,,108.0,,,,,,,,,1.0,150.0,25.0,,,72.0,,33.0,,,,,,,,51.0,,143.0,,,21.0,39.0,,,,42.0,,,33.0,,,9.0,2024-06-30
82,83,-7,Dua Lipa - Houdini,234,4,,2012,-106,1.401,,82.0,,72.0,84.0,,,,,,,,48.0,,84.0,,,,,,,,20.0,,,,,74.0,,55.0,,96.0,,,,,,,89.0,,,,95.0,,35.0,,,,,,25.0,91.0,,,53.0,,,89.0,,,2024-06-30
83,84,+1,Luke Combs - Fast Car,463,28,,1980,28,1.403,58.0,,,,24.0,25.0,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,2024-06-30
84,85,-8,Taylor Swift - But Daddy I Love Him,73,6,,1960,-121,0.496,,62.0,,,39.0,92.0,,,,,,,,127.0,,,,,,,26.0,,84.0,56.0,,,,,107.0,,,,,,,,,,,,,,64.0,,,,,183.0,,61.0,,,,,107.0,,43.0,,,,2024-06-30
85,86,-3,GIMS & DYSTINCT - SPIDER,51,79,,1956,-35,0.094,,,,,,,1.0,,,,,,1.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,2024-06-30
86,87,+18,Dua Lipa - New Rules,1025,3,(x5),1935,232,6.55,,50.0,,,68.0,,,,,,,,115.0,84.0,,,,,,85.0,81.0,,78.0,55.0,,,,,155.0,,,97.0,186.0,,,,117.0,,,,,,,65.0,56.0,63.0,,83.0,,114.0,66.0,92.0,117.0,,81.0,,67.0,,,,2024-06-30
87,88,-4,AYLIVA & Apache 207 - Wunder,66,71,,1911,-64,0.136,,,,3.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,2024-06-30
88,89,+17,Fleetwood Mac - Dreams,1053,22,,1833,135,2.438,,67.0,,,42.0,55.0,,,,,,,181.0,,,,,,,,113.0,,67.0,22.0,,,,,,,,,177.0,,,,,,,,,,,,,,,193.0,,,,,,,78.0,,,,,,2024-06-30
89,90,-4,PASHANIM - Mittelmeer,38,70,,1817,-98,0.078,,,,6.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,2024-06-30
90,91,-2,Moneybagg Yo - WHISKEY WHISKEY,16,78,,1814,-46,0.03,8.0,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
91,92,-4,"Rvssian, Rauw Alejandro & Ayra Starr - Santa",74,57,,1808,-53,0.186,,,,,,,,79.0,,78.0,,,,,150.0,,18.0,7.0,,,,,,,,,,,14.0,,27.0,,,13.0,,,,,,,,,,,,,,,6.0,,,55.0,,,,,,,,,2024-06-30
92,93,+9,Harry Styles - As It Was,819,1,(x177),1805,90,7.876,,73.0,,137.0,110.0,,,,,,,,80.0,57.0,89.0,,,,,119.0,111.0,,57.0,98.0,,,,67.0,187.0,109.0,,100.0,152.0,,,,114.0,,,,,,,90.0,52.0,71.0,,86.0,164.0,148.0,106.0,,,80.0,66.0,,80.0,,,,2024-06-30
93,94,=,Myke Towers & Bad Bunny - ADIVINO,66,57,,1766,-11,0.145,,,,,,,,,,38.0,,,,,,,16.0,8.0,,,,,,,,,,,21.0,,15.0,,,9.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,2024-06-30
94,95,+3,NewJeans - ETA,266,18,,1763,18,0.737,,,34.0,,,,,,14.0,,,,,,,,,,121.0,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
95,96,-4,Carbonne - Imagine,59,82,,1755,-47,0.105,,,,,,,2.0,,,,,,3.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,24.0,,,,,,,,,,,,,,,,2024-06-30
96,97,+3,NewJeans - OMG,487,19,,1747,11,1.501,,,33.0,,,,,,27.0,,,,,,,,,,78.0,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,2024-06-30
97,98,-5,Benson Boone - Slow It Down,82,76,,1736,-60,0.142,,24.0,,,65.0,180.0,,,,,,,,,102.0,,,,,,105.0,,194.0,77.0,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
98,99,+8,Bad Bunny - Moscow Mule,760,19,,1719,35,1.702,171.0,,,,,,,,,28.0,,,,,,,17.0,22.0,,,,,,,,,,,134.0,,28.0,,,10.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,2024-06-30
99,100,+12,The Killers - Mr. Brightside,949,37,,1716,117,2.23,,30.0,,145.0,56.0,121.0,,,,,,,,,,,,,,,75.0,,,62.0,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
100,101,-14,RIIZE - Boom Boom Bass,13,66,,1714,-178,0.028,,,60.0,,,,,,8.0,,,169.0,,,,,,,117.0,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
101,102,-7,Feid - SORRY 4 THAT MUCH,23,92,,1714,-48,0.04,,,,,,,,,,52.0,,,,,,,3.0,13.0,,,,,,,,,,,28.0,,36.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2024-06-30
102,103,+1,NewJeans - Hype Boy,633,27,,1709,6,1.65,,,54.0,,,,,,15.0,,,,,,,,,,68.0,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,2024-06-30
103,104,+20,Peter Schilling - Major Tom,16,104,,1703,207,0.038,,,,2.0,,,,,,,,,,,67.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
104,105,+8,Ed Sheeran - Shape of You,2461,1,(x4),1702,107,14.214,,104.0,166.0,155.0,75.0,,,,,,,,95.0,114.0,68.0,,,,,,138.0,,74.0,60.0,,90.0,,55.0,,135.0,,61.0,113.0,,,,180.0,,,,,,,,48.0,137.0,,92.0,,,88.0,,,,80.0,,52.0,,,,2024-06-30
105,106,-16,Natasha Bedingfield - Unwritten,178,8,,1697,-115,0.925,,48.0,,80.0,66.0,146.0,,,,,,,172.0,,121.0,,,,,,196.0,,160.0,108.0,,,,,,51.0,,57.0,,,,,,,,,,,,,,,,,,,87.0,,,,,,,45.0,,,2024-06-30
106,107,-6,Marshmello & Kane Brown - Miles on It,31,69,,1648,-83,0.084,87.0,46.0,,,,21.0,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
107,108,-12,Taylor Swift - The Smallest Man Who Ever Lived,73,12,,1618,-137,0.361,,63.0,,,48.0,107.0,,,,,,,,153.0,,,,,,,38.0,,97.0,83.0,,,,,79.0,,,,,,,,,,,,,,42.0,,,,,,,98.0,,,,,173.0,,96.0,,,,2024-06-30
108,109,=,Ella Langley & Riley Green - you look like you love me,7,109,,1575,-55,0.012,31.0,,,,130.0,28.0,,,,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
109,110,+28,Ed Sheeran - Perfect,2237,1,(x2),1561,162,9.251,,158.0,,,88.0,129.0,,,,,,152.0,119.0,113.0,109.0,,,192.0,169.0,112.0,195.0,120.0,75.0,71.0,,,,50.0,137.0,164.0,,90.0,92.0,,,,177.0,,,,,,,,50.0,42.0,,72.0,,168.0,138.0,,,95.0,96.0,,20.0,,,166.0,2024-06-30
110,111,+8,YOASOBI - Idol,322,35,,1555,47,0.848,,,14.0,,,,,,,,,,,,,,,,53.0,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
111,112,NEW,Coldplay - Yellow,312,37,,1535,954,1.382,,29.0,,,143.0,,,,,,,,,172.0,147.0,,,,,,65.0,,162.0,106.0,,,,,112.0,177.0,,,,,,,137.0,,,,,,37.0,,90.0,96.0,,123.0,,149.0,,,158.0,,,96.0,55.0,,,,2024-06-30
112,113,+1,aespa - Drama,234,28,,1535,-42,0.65,,,113.0,,,,,,33.0,,,129.0,,,,91.0,,,63.0,88.0,,,,,,32.0,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,85.0,,,100.0,2024-06-30
113,114,-15,Gunna - one of wun,52,43,,1532,-204,0.146,32.0,124.0,,,,99.0,,,,,,,,,,,,,,,,,,,,,51.0,56.0,,,,,,,,,,,,,5.0,,,,,,119.0,,,,,,,,,,,,,,2024-06-30
114,115,-5,Taylor Swift - Guilty as Sin,73,8,,1530,-81,0.455,,166.0,,,53.0,120.0,,,,,,179.0,,74.0,,,,,,53.0,84.0,,,58.0,,,,,78.0,,,,,,,,,,,,,,,,,72.0,,,,19.0,,,,58.0,164.0,,23.0,,,156.0,2024-06-30
115,116,NEW,Karan Aujla & Yeah Proof - Who They,2,116,,1526,1526,0.003,,,,,,13.0,,,,,,,,,,,,,,,,5.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
116,117,+5,The Kid LAROI - NIGHTS LIKE THIS,3,117,,1514,14,0.007,48.0,193.0,,162.0,82.0,53.0,,,,,,,,,,,,,,,,,,70.0,,,,,,158.0,,,,,,,,,,,,,,,,,,,,,,,93.0,,148.0,,,,,,2024-06-30
117,118,+30,Tom Odell - Another Love,1038,6,,1513,171,4.3,,150.0,,96.0,,,153.0,,,,,,58.0,,32.0,,,,,,108.0,,50.0,,,,,85.0,,86.0,,58.0,,,,67.0,,,,,,,57.0,,33.0,,,87.0,,,114.0,,,84.0,,,,90.0,,,2024-06-30
118,119,-4,GReeeN - Panama,13,105,,1512,-42,0.028,,,,14.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
119,120,+24,GloRilla - TGIF,9,120,,1501,140,0.011,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,2024-06-30
120,121,+2,Mrs. GREEN APPLE - ã©ã¤ã©ãã¯,76,96,,1500,0,0.111,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
121,122,-6,Heuss L'enfoirÃ© - MÃ©lanine,57,106,,1499,-35,0.083,,,,,,,3.0,,,,,,6.0,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,2024-06-30
122,123,-2,"Gradur, SDM & Rsko - TI TI TI",16,111,,1490,-11,0.024,,,,,,,6.0,,,,,,9.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,2024-06-30
123,124,-6,Morgan Wallen - Thinkinâ Bout Me,470,42,,1483,-30,0.898,30.0,,,,98.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
124,125,+17,"Meduza, OneRepublic & Leony - Fire",18,120,,1479,110,0.045,,,,8.0,,,,,,,,,,,108.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
125,126,+5,David Guetta & Bebe Rexha - I'm Good,564,4,,1472,35,3.378,,177.0,,89.0,191.0,103.0,199.0,,,,,,83.0,,39.0,,,,,,,,64.0,,,,,,,65.0,,29.0,146.0,,,,124.0,,81.0,,,,,,38.0,,,84.0,,,95.0,,116.0,,116.0,,,70.0,,,2024-06-30
126,127,-2,Creepy Nuts - Bling-Bang-Bang-Born,167,72,,1470,0,0.276,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
127,128,-17,Peso Pluma & Ivan Cornejo - RELOJ,10,83,,1470,-140,0.018,50.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
128,129,-26,"Charli xcx & Lorde - The girl, so confusing version with lorde",9,85,,1466,-244,0.016,,44.0,,,,,,,,,,,,41.0,88.0,,,,,,88.0,,107.0,48.0,,,,,199.0,,,,,,,,144.0,,,,,,70.0,,,,,,,,135.0,,,56.0,,,,,,,2024-06-30
129,130,-1,Karan Aujla - IDK HOW,3,129,,1454,12,0.005,,,,,,15.0,,,,,,,,,,,,,,,,3.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
130,131,-1,Omoinotake - å¹¾ååå¹´,138,91,,1442,0,0.205,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
131,132,-24,Kendrick Lamar - euphoria,61,4,,1438,-246,0.305,42.0,,,,,83.0,,,,,,,,,,,,,,,,,,105.0,,,72.0,53.0,,,,,,,,72.0,,,,,44.0,,76.0,,,,,,,,,79.0,,18.0,127.0,,,,,,2024-06-30
132,133,-13,"6PM RECORDS, Ski Aggu, Haaland936 & SIRA - JUNGE BALLER",24,89,,1436,-71,0.04,,,,10.0,,,,,,,,,,,93.0,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
133,134,-8,Bad Bunny - Vete,465,36,,1435,-19,1.655,,,,,,,,,,48.0,,,,,,,13.0,24.0,,,,,,,,,,,,,29.0,,,12.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,2024-06-30
134,135,-7,BABYMONSTER - LIKE THAT,41,91,,1430,-14,0.088,,,,,,,,,98.0,,,37.0,,,,,,,46.0,84.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,76.0,,,75.0,2024-06-30
135,136,-2,KeBlack - Boucan,66,94,,1420,0,0.098,,,,,,,5.0,,,,,,10.0,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,2024-06-30
136,137,-1,Mrs. GREEN APPLE - ã±ã»ã©ã»ã©,406,104,,1414,0,0.564,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
137,138,-1,Karan Aujla - Antidote,3,137,,1410,0,0.005,,,,,,17.0,,,,,,,,,,,,,,,,6.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
138,139,+1,"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis - Can't Hold Us",126,39,,1395,9,0.34,,,,52.0,111.0,,,,,,,,64.0,,37.0,,,,,,,,101.0,133.0,,,,,,57.0,,,167.0,,,,,,,,,,,,36.0,,,107.0,,,166.0,,,,98.0,,,,,,2024-06-30
139,140,+1,"Jungeli, Imen Es & Alonzo - Petit gÃ©nie",320,78,,1394,9,0.518,,,,,,,8.0,,,,,,14.0,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,2024-06-30
140,141,-9,ZICO - SPOT,65,38,,1377,-53,0.188,,,,,,,,,19.0,,,,,,,,,,54.0,120.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,58.0,,,196.0,2024-06-30
141,142,NEW,Coldplay - A Sky Full of Stars,186,49,,1373,733,1.063,,42.0,,,,,,,,,,,150.0,,85.0,,,,,,67.0,,103.0,181.0,,,,87.0,111.0,149.0,,,,,,,98.0,,83.0,,,,33.0,,66.0,190.0,,150.0,,,,,112.0,,150.0,,74.0,,,,2024-06-30
142,143,-8,Eminem - Mockingbird,597,17,,1371,-45,1.661,,173.0,,73.0,123.0,187.0,,,,,123.0,,124.0,,44.0,,,,,,,,184.0,156.0,,,,72.0,,60.0,,67.0,166.0,,,,111.0,,,,,,,,65.0,,,134.0,,,82.0,,,,94.0,,,73.0,90.0,,2024-06-30
143,144,-5,Mrs. GREEN APPLE - ã³ã­ã³ãã¹,17,130,,1360,-26,0.024,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
144,145,+5,Zach Bryan - Something in the Orange,618,41,,1359,29,1.261,80.0,,,,46.0,33.0,,,,,,,,,,,,,,,183.0,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
145,146,+10,Luis R Conriquez & Neton Vega - Si No Quieres No,56,101,,1345,50,0.105,85.0,,,,,,,,,5.0,,,,,,,97.0,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
