,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
356,157,-6,Monetochka - Ð¡ÐµÐ»ÑÑÐ°ÑÐ¼,35,115,,1289,-26,0.05,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,16.0,,64.0,,,,,,,,,,,,,,,28.0,,2024-07-01
357,158,-6,Mrs. GREEN APPLE - éã¨å¤,248,139,,1282,-25,1.515,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
358,159,+4,KAROL G - AMARGURA,165,137,,1266,0,0.456,,,,,,,,,,106.0,,,,,,,8.0,19.0,,,,,,,,,,,78.0,,32.0,,,15.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,2024-07-01
359,160,+13,Morgan Wallen - You Proof,483,42,,1257,40,1.153,31.0,,,,168.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
360,161,+3,Mrs. GREEN APPLE - Soranji,328,134,,1257,0,0.686,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
361,162,-16,Luis R Conriquez & Neton Vega - Si No Quieres No,57,101,,1257,-88,0.106,101.0,,,,,,,,,5.0,,,,,,,108.0,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
362,163,-3,Jack Harlow - Lovin On Me,235,3,(x13),1255,-22,1.569,174.0,104.0,,130.0,43.0,72.0,,,,,,,,,,,,,,,,,169.0,104.0,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,2024-07-01
363,164,-14,Lewis Capaldi - Someone You Loved,1657,6,,1252,-72,8.075,,97.0,,185.0,67.0,,,,,,,,126.0,,53.0,,,,,,124.0,,104.0,61.0,,,,,,145.0,,,149.0,,,,,,,,,,,,79.0,107.0,,109.0,,,,,,,160.0,,73.0,,,,2024-07-01
364,165,+25,Karan Aujla & Yeah Proof - Y.D.G,4,165,,1248,83,0.005,,,,,,22.0,,,,,,,,,,,,,,,,11.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
365,166,+3,Bad Bunny & Bomba EstÃ©reo - Ojitos Lindos,761,38,,1246,19,1.528,,,,,,,,,,52.0,,,,,,,23.0,49.0,,,,,,,,,,,33.0,,47.0,,,16.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,2024-07-01
366,167,-10,Teddy Swims - The Door,39,97,,1240,-43,0.091,,30.0,,,,,192.0,,,,,,183.0,,103.0,,,,,,169.0,,53.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,163.0,,,,,,,,,,2024-07-01
367,168,-29,"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis - Can't Hold Us",127,39,,1238,-157,0.342,,,,58.0,108.0,,,,,,,,79.0,,43.0,,,,,,,,102.0,145.0,,,,,,60.0,,,197.0,,,,,,,,,,,,39.0,,,154.0,,,173.0,,,,140.0,,,,,,2024-07-01
368,169,-1,Mrs. GREEN APPLE - Dear,41,144,,1233,0,0.054,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
369,170,-5,Chris Stapleton - Tennessee Whiskey,80,130,,1232,-21,0.647,60.0,,,,99.0,36.0,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
370,171,-1,Asake & Central Cee - Wave,10,104,,1222,0,0.015,,41.0,,,,,,,,,,,,,171.0,,,,,,101.0,,180.0,,,,,55.0,,,,,,,,,,,,,4.0,,,,60.0,,9.0,,,,,90.0,,,186.0,,,,,,2024-07-01
371,172,+42,Zach Bryan - Oklahoma Smokeshow,22,155,,1218,153,0.275,44.0,,,,142.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
372,173,+5,ECLIPSE - Sudden Shower,52,92,,1215,12,0.083,,,,,,,,,11.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,79.0,,,,2024-07-01
373,174,-25,Udo Lindenberg & Apache 207 - Komet,519,65,,1211,-113,0.999,,,,25.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,2024-07-01
374,175,+18,NewJeans - Super Shy,252,13,,1209,58,0.932,,,88.0,,,,,,36.0,,,187.0,,,,,,,82.0,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,83.0,,,156.0,2024-07-01
375,176,+19,Tems - Love Me JeJe,56,79,,1204,64,0.09,,37.0,,,,,,,,,,,,,,,,,,,,,183.0,,,,44.0,,,,,,,,,,,,,,1.0,,,,,,60.0,190.0,,,,,,,131.0,,,,,,2024-07-01
376,177,+15,Luke Combs - Where the Wild Things Are,59,104,,1203,42,0.2,72.0,,,,60.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
377,178,+33,Taylor Swift - My Boy Only Breaks His Favorite Toys,72,3,(x1),1202,127,0.471,,129.0,,,52.0,162.0,,,,,,,,84.0,,,,,,,72.0,,197.0,68.0,,,,,53.0,,,,,,,,,,,,,,69.0,,,193.0,,174.0,,58.0,,,,,125.0,,53.0,,,179.0,2024-07-01
