,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU,AT,BE,CH,ES,NL,DK,IE,LU,NO,SE,PL,PT,TR,CZ,FI,GR,HU,RO,SI,SK,UA,BG,BY,CY,EE,LT,LV,MD,MT,DATE
10,11,=,Artemas - i like the way you kiss me,98,3,(x1),10025,-262,1.16,183.0,8.0,15.0,19.0,,50.0,12.0,77.0,27.0,,,31.0,2.0,8.0,,,,23.0,,,,,,,,,,,,,,,,,2024-06-30
11,12,+2,Shaboozey - A Bar Song,80,9,,9458,735,0.52,2.0,18.0,59.0,128.0,,17.0,26.0,75.0,,65.0,6.0,1.0,,17.0,3.0,,,,,,,,,,,,,,,,,,,,2024-06-30
12,13,+2,Hozier - Too Sweet,100,7,,9166,751,0.666,14.0,27.0,30.0,80.0,,9.0,28.0,19.0,,,53.0,11.0,,,,5.0,,,,,,,,,,,,,,,,,,,2024-06-30
13,14,-1,Beyonc̩ - TEXAS HOLD 'EM,140,1,(x18),8871,-267,2.094,83.0,16.0,9.0,90.0,,8.0,30.0,15.0,,45.0,19.0,38.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
14,15,-9,LISA - Rockstar,3,2,(x1),7948,-4705,0.038,86.0,56.0,19.0,78.0,,,126.0,79.0,5.0,126.0,,,,6.0,11.0,13.0,7.0,4.0,,,,,,,,69.0,,,,26.0,1.0,29.0,2.0,,2024-06-30
15,16,+7,Christine and the Queens - Full of life,28,13,,7589,2201,0.175,28.0,36.0,29.0,25.0,,10.0,,,60.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
16,17,+17,Coldplay - A Sky Full of Stars,1370,1,(x17),6874,3031,9.106,4.0,,44.0,83.0,,,97.0,61.0,35.0,,,26.0,,,,82.0,36.0,,39.0,,39.0,42.0,26.0,18.0,,,,55.0,8.0,37.0,16.0,26.0,,,2024-06-30
17,18,=,Dasha - Austin,114,11,,6404,381,0.565,23.0,34.0,123.0,,,21.0,49.0,22.0,,109.0,54.0,16.0,,26.0,,,,,,,,,,,,,,,,,,,,,2024-06-30
18,19,=,Myles Smith - Stargazing,52,15,,6316,369,0.255,3.0,43.0,,96.0,,34.0,33.0,50.0,86.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
19,20,-4,"Jax Jones, Joel Corry & Jason Derulo - Tonight",3,15,,5561,-1857,0.021,29.0,31.0,,102.0,,93.0,83.0,12.0,,54.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
20,21,-4,Mark Ambor - Belong Together,103,10,,5512,-1380,0.633,39.0,29.0,,,,4.0,117.0,73.0,70.0,51.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
21,22,+2,Teddy Swims - The Door,158,14,,5483,284,0.589,13.0,,23.0,,,,,16.0,66.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
