,Pos,P+,Artist and Title,Days,Pk,(x?),Aud,Aud+,Formats,PkAud,iTunes,Spotify,Apple M,Shazam,Date
37,38.0,-2,Kenny Chesney - Take Her Home,180.0,11.0,,22.68,-0.38,1,46.45,,,,,2024-07-02
38,39.0,=,GloRilla - Yeah Glo!,87.0,30.0,,21.81,-0.16,2,27.69,,47.0,33.0,115,2024-07-02
39,40.0,+3,Dustin Lynch - Chevrolet (feat. Jelly Roll),69.0,40.0,,21.75,0.45,1,21.75,55,,,67,2024-07-02
40,41.0,=,Eminem - Houdini,19.0,41.0,,21.75,0.38,4,21.75,8,20.0,38.0,19,2024-07-02
41,42.0,-2,Jelly Roll - Save Me (with Lainey Wilson),280.0,10.0,,21.32,-0.12,4,50.73,31,,,76,2024-07-02
42,43.0,-1,Tate McRae - greedy,269.0,3.0,(x21),20.88,-0.44,3,65.01,,137.0,200.0,186,2024-07-02
43,44.0,=,Bryson Tiller - Whatever She Wants,66.0,43.0,,20.64,-0.08,2,22.18,,129.0,66.0,57,2024-07-02
44,45.0,+1,Nate Smith - World On Fire,286.0,7.0,,19.8,0.13,1,50.3,,,,,2024-07-02
45,46.0,-1,Muni Long - Made For Me,170.0,11.0,,19.46,-0.22,5,43.06,190,,,107,2024-07-02
46,47.0,+2,Chase Matthew - Love You Again,88.0,47.0,,19.15,0.05,1,20.49,,,,,2024-07-02
47,48.0,=,Morgan Wallen - Last Night,481.0,2.0,(x30),18.75,-0.4,4,96.75,59,23.0,13.0,196,2024-07-02
48,49.0,-2,Jordan Davis - Tucson Too Late,206.0,8.0,,18.59,-0.89,1,46.74,,,,,2024-07-02
49,50.0,=,Sia - Unstoppable,745.0,6.0,,18.16,-0.25,3,66.27,126,,,,2024-07-02
50,51.0,+3,Lainey Wilson - Hang Tight Honey,39.0,51.0,,16.93,0.46,1,17.63,74,,,,2024-07-02
51,52.0,+1,Dua Lipa - Houdini,234.0,7.0,,16.91,-0.16,3,51.98,,,,,2024-07-02
52,53.0,-1,Sexyy Red - Get It Sexyy,74.0,42.0,,16.8,-0.53,2,23.24,,99.0,21.0,74,2024-07-02
53,54.0,+3,Harry Styles - As It Was,822.0,1.0,(x94),16.54,0.33,4,102.08,,55.0,,,2024-07-02
54,55.0,=,Megan Moroney - I'm Not Pretty,128.0,55.0,,16.42,0.06,1,17.57,,,,,2024-07-02
55,56.0,-5,Ashley Cooke - your place,149.0,13.0,,16.27,-1.13,1,43.05,,,,,2024-07-02
56,57.0,+3,Dua Lipa - Dance The Night,401.0,4.0,,15.98,0.03,4,77.78,,,,,2024-07-02
57,58.0,+1,Jelly Roll - Need a Favor,438.0,5.0,,15.95,-0.03,5,61.96,51,,,,2024-07-02
58,59.0,-3,Taylor Swift - Anti-Hero,620.0,1.0,(x43),15.94,-0.32,3,100.73,142,,,,2024-07-02
59,60.0,-2,Doja Cat - Paint The Town Red,331.0,1.0,(x1),15.88,-0.1,3,77.17,,,,,2024-07-02
60,61.0,+1,Morgan Wallen - Thinkin' Bout Me,307.0,9.0,,15.72,0.33,2,52.36,,,,,2024-07-02
61,62.0,+3,GloRilla & Megan Thee Stallion - Wanna Be,17.0,62.0,,15.56,0.43,2,15.56,,82.0,39.0,59/71,2024-07-02
62,63.0,=,Tim Mcgraw - One Bad Habit,65.0,63.0,,15.46,0.1,1,16.52,,,,,2024-07-02
63,64.0,-3,Warren Zeiders - Pretty Little Poison,245.0,10.0,,15.43,-0.09,1,47.27,,,,,2024-07-02
64,65.0,-1,Kehlani - After Hours,46.0,64.0,,15.4,0.19,2,15.4,,,,44,2024-07-02
65,66.0,=,"Chappell Roan - Good Luck, Babe!",16.0,66.0,,15.4,0.49,2,15.4,22,7.0,16.0,9,2024-07-02
66,67.0,=,Justin Moore - This Is My Dirt,49.0,65.0,,15.07,0.3,1,15.72,,,,,2024-07-02
67,68.0,=,Cash Cobain - Fisherrr,33.0,68.0,,14.96,0.44,2,14.96,,,,34,2024-07-02
68,69.0,=,Marshmello & Kane Brown - Miles On It,35.0,67.0,,14.6,0.09,4,15.34,15,,88.0,51,2024-07-02
69,70.0,=,Usher/summer Walker/21 Savage - Good Good,324.0,9.0,,14.51,0.05,4,49.96,,,,,2024-07-02
70,71.0,=,"Metro Boomin - Creepin' f/The Weeknd, 21 Sav.",564.0,1.0,(x4),14.35,0.12,5,110.08,,,,,2024-07-02
71,72.0,+1,Noah Kahan - Stick Season,158.0,8.0,,14.15,0.25,5,46.67,132,22.0,62.0,81,2024-07-02
72,73.0,+1,Jelly Roll - I Am Not Okay,13.0,73.0,,14.0,0.36,3,14.0,3,,,53,2024-07-02
73,74.0,+3,Sabrina Carpenter - Please Please Please,5.0,74.0,,13.97,0.89,2,13.97,13,1.0,3.0,18,2024-07-02
74,75.0,-3,HARDY - TRUCK BED,244.0,10.0,,13.86,-0.06,1,46.06,152,,,,2024-07-02
75,76.0,-1,Flo Milli - Never Lose Me,120.0,51.0,,13.83,0.2,2,19.35,,110.0,,,2024-07-02
76,77.0,-1,Miguel - Sure Thing,485.0,6.0,,13.27,-0.18,3,59.83,,90.0,,142,2024-07-02
77,78.0,=,Benson Boone - Slow It Down,31.0,77.0,,13.2,0.13,3,13.71,54,50.0,,58,2024-07-02
78,79.0,=,Victoria Monet - On My Mama,275.0,13.0,,12.92,0.16,5,43.28,,,,136,2024-07-02
79,80.0,+1,David Guetta & Bebe Rexha - I'm Good (Blue),646.0,1.0,(x7),12.14,0.0,3,93.98,,,,,2024-07-02
80,81.0,+1,"Luke Bryan - Love You, Miss You, Mean It",32.0,81.0,,12.13,0.27,1,12.13,130,,,,2024-07-02
81,82.0,+1,Tyla - Water,258.0,2.0,(x5),11.86,0.37,5,66.33,,,,126,2024-07-02
82,83.0,-3,Cardi B - Enough (Miami),90.0,35.0,,11.7,-0.5,2,27.96,,,,,2024-07-02
83,84.0,+1,Skylar Blatt - Wake Up f/Chris Brown,21.0,81.0,,11.35,0.05,2,12.32,,,,37,2024-07-02
84,85.0,+1,The Weeknd - Die For You,646.0,1.0,(x6),11.26,0.18,4,90.9,,,,,2024-07-02
85,86.0,-2,Jordan Davis - Next Thing You Know,453.0,10.0,,11.13,-0.22,1,49.25,,,,,2024-07-02
86,87.0,=,Keith Urban - Messed Up As Me,50.0,84.0,,11.06,0.2,1,11.49,156,,,,2024-07-02
87,88.0,=,Billie Eilish - BIRDS OF A FEATHER,5.0,88.0,,11.06,0.3,2,11.06,20,6.0,9.0,21,2024-07-02
88,89.0,=,Teddy Swims - The Door,8.0,89.0,,10.65,0.08,4,10.65,39,,,48,2024-07-02
89,90.0,=,Chris Brown - Sensational f/Davido & Lojay,188.0,26.0,,10.33,-0.01,4,33.29,,,,,2024-07-02
90,91.0,+8,Ariana Grande - the boy is mine,3.0,91.0,,10.25,0.97,4 (+1),10.25,,138.0,,,2024-07-02
91,92.0,-1,Thomas Rhett - Beautiful As You,19.0,70.0,,10.23,-0.02,1,14.69,180,,,,2024-07-02
