,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
405,6,+3,Adele - 21,4873,1,(x467),8762,1026,45.287,,,,,,,17.0,105.0,39.0,37.0,,19.0,19.0,33.0,,30.0,4.0,46.0,53.0,19.0,18.0,,,6.0,,,6.0,12.0,17.0,,12.0,4.0,16.0,6.0,,,,,4.0,,7.0,,11.0,11.0,,5.0,6.0,5.0,3.0,30.0,5.0,14.0,,9.0,3.0,16.0,4.0,5.0,8.0,16.0,2024-07-02
406,7,+1,Ed Sheeran - Ã·,2680,1,(x100),8280,511,22.867,,,167.0,98.0,,19.0,22.0,108.0,42.0,77.0,143.0,25.0,31.0,50.0,,40.0,104.0,14.0,,16.0,10.0,,,47.0,20.0,15.0,11.0,19.0,,8.0,5.0,15.0,,8.0,26.0,90.0,98.0,,13.0,,29.0,38.0,,,,36.0,,7.0,13.0,16.0,54.0,86.0,53.0,29.0,17.0,,10.0,11.0,,27.0,2024-07-02
407,8,+2,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,75,1,(x17),7660,313,0.929,4.0,10.0,8.0,4.0,,,,7.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,2024-07-02
408,9,+2,Bruno Mars - Unorthodox Jukebox,4171,1,(x3),7594,442,22.488,,,,103.0,,65.0,27.0,114.0,56.0,48.0,119.0,24.0,108.0,95.0,14.0,41.0,,43.0,111.0,,22.0,14.0,6.0,32.0,12.0,33.0,13.0,8.0,58.0,11.0,9.0,55.0,86.0,12.0,34.0,16.0,6.0,8.0,34.0,5.0,,,75.0,,12.0,41.0,,12.0,55.0,26.0,,50.0,5.0,22.0,50.0,,,27.0,,,2024-07-02
409,10,+2,Ed Sheeran - x,3735,1,(x34),7209,326,23.81,,,,97.0,,22.0,99.0,107.0,46.0,,129.0,18.0,,69.0,56.0,51.0,,48.0,,18.0,15.0,,29.0,18.0,38.0,12.0,16.0,15.0,54.0,6.0,6.0,18.0,64.0,9.0,,35.0,18.0,30.0,25.0,21.0,19.0,45.0,66.0,,23.0,,39.0,22.0,,11.0,30.0,27.0,16.0,14.0,24.0,,25.0,16.0,,,2024-07-02
410,11,-5,Billie Eilish - HIT ME HARD AND SOFT,48,1,(x13),7177,-1125,0.604,11.0,36.0,11.0,19.0,17.0,,,10.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2024-07-02
411,12,+1,BeyoncÃ© - BEYONCÃ,3770,1,(x55),7027,372,17.861,,,,104.0,,,36.0,112.0,69.0,70.0,128.0,68.0,104.0,,64.0,34.0,45.0,,78.0,23.0,11.0,12.0,34.0,17.0,47.0,22.0,,29.0,28.0,9.0,24.0,9.0,18.0,20.0,,55.0,64.0,21.0,26.0,,14.0,26.0,41.0,26.0,51.0,38.0,5.0,2.0,1.0,3.0,12.0,84.0,38.0,19.0,8.0,22.0,13.0,10.0,13.0,,2024-07-02
412,13,+2,One Direction - Midnight Memories,3698,1,(x17),6777,479,16.242,,,,108.0,,55.0,60.0,117.0,104.0,135.0,,23.0,27.0,91.0,13.0,63.0,,157.0,150.0,25.0,16.0,23.0,11.0,22.0,55.0,23.0,,23.0,34.0,20.0,13.0,,35.0,19.0,,11.0,17.0,14.0,,6.0,,9.0,57.0,29.0,5.0,,23.0,45.0,26.0,5.0,,113.0,14.0,,60.0,4.0,43.0,,,,2024-07-02
413,14,+5,One Direction - FOUR,3098,1,(x25),5765,458,12.517,,,,122.0,,47.0,103.0,128.0,,,,20.0,35.0,82.0,17.0,74.0,,,,33.0,24.0,21.0,18.0,36.0,91.0,37.0,,27.0,51.0,33.0,16.0,,37.0,18.0,,17.0,30.0,27.0,,12.0,45.0,11.0,52.0,34.0,18.0,,35.0,,53.0,7.0,,,12.0,40.0,52.0,20.0,40.0,,,,2024-07-02
414,15,-1,London Philharmonic Orchestra & David Parry - The 50 Greatest Pieces of Classical Music,3048,3,(x1),5739,-738,13.013,95.0,184.0,169.0,148.0,,20.0,53.0,,48.0,,,64.0,,49.0,26.0,38.0,5.0,,59.0,54.0,,,,,11.0,61.0,23.0,58.0,,,87.0,88.0,42.0,25.0,,,,,32.0,,,,35.0,,,,42.0,,37.0,,,,,,31.0,,,,23.0,,2024-07-02
415,16,=,"Nickelback - The Best of Nickelback, Vol. 1",1267,12,,5684,-580,3.907,7.0,31.0,,1.0,,,,2.0,,,,,,,,,47.0,,,30.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,32.0,,,,,,,,14.0,,2024-07-02
416,17,+3,Michael BublÃ© - Christmas,3134,1,(x136),5640,367,20.034,,,182.0,101.0,,26.0,58.0,124.0,71.0,105.0,,21.0,,56.0,65.0,75.0,,,,21.0,23.0,,101.0,78.0,58.0,54.0,14.0,35.0,63.0,10.0,17.0,32.0,,13.0,,,35.0,,,48.0,36.0,112.0,115.0,,10.0,9.0,,,,14.0,,,29.0,33.0,41.0,,22.0,22.0,,128.0,2024-07-02
417,18,+3,One Direction - Made In the A.M.,2767,1,(x10),5594,456,11.43,,,,128.0,,41.0,97.0,126.0,,,,12.0,21.0,71.0,21.0,,,110.0,159.0,26.0,13.0,73.0,61.0,84.0,81.0,47.0,,34.0,88.0,46.0,4.0,,59.0,15.0,,29.0,86.0,37.0,,25.0,44.0,20.0,46.0,27.0,28.0,,25.0,,,6.0,46.0,,20.0,,26.0,14.0,8.0,,,,2024-07-02
418,19,+6,"Camila Cabello - C,XOXO",6,2,(x2),5499,733,0.052,20.0,96.0,,52.0,185.0,,,5.0,7.0,8.0,23.0,,,,,,,,9.0,,,,,,,,,,,,130.0,,,,,,,,,,,,,,50.0,,,,,18.0,,,,,,,,,,,2024-07-02
419,20,+2,P!nk - The Truth About Love,3151,1,(x2),5281,162,13.497,,,170.0,99.0,,23.0,62.0,110.0,47.0,65.0,140.0,109.0,,98.0,116.0,53.0,90.0,,,28.0,,63.0,50.0,71.0,63.0,40.0,15.0,67.0,39.0,18.0,39.0,53.0,67.0,22.0,,75.0,106.0,,12.0,,25.0,,45.0,,35.0,20.0,,,,,22.0,,30.0,,13.0,,20.0,28.0,,,2024-07-02
420,21,+6,Michael Jackson - Number Ones,3563,1,(x1),5112,412,12.755,,77.0,180.0,114.0,,62.0,,115.0,,53.0,,62.0,92.0,,117.0,,38.0,,,58.0,20.0,53.0,17.0,90.0,42.0,52.0,,30.0,,23.0,40.0,17.0,,38.0,,31.0,15.0,10.0,21.0,26.0,28.0,34.0,,,40.0,19.0,28.0,8.0,9.0,15.0,31.0,37.0,23.0,,20.0,23.0,24.0,18.0,17.0,,2024-07-02
421,22,-15,STAYC - Metamorphic,2,7,,5068,-3185,0.013,43.0,179.0,,22.0,39.0,,,17.0,,,16.0,,,,,,,,7.0,,,,,,3.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,132.0,2024-07-02
422,23,=,Luke Combs - Fathers & Sons,20,7,,5052,87,0.12,5.0,13.0,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
423,24,-7,The Warning - Keep Me Fed,6,3,(x2),4698,-1455,0.049,19.0,51.0,5.0,,,,,9.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
424,25,+3,Taylor Swift - Lover,1173,1,(x10),4625,46,5.767,13.0,17.0,,,,,,18.0,,,,,,,,,,44.0,,,,,,,43.0,1.0,,16.0,,,7.0,,,34.0,,,,,,,,52.0,,,,,,,,25.0,,,121.0,,,21.0,,,,8.0,2024-07-02
425,26,+4,Chappell Roan - The Rise and Fall of a Midwest Princess,63,26,,4597,226,0.175,3.0,30.0,,8.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
426,27,+6,David Guetta - Listen,2970,1,(x8),4522,392,10.47,,,181.0,,,44.0,45.0,,,79.0,157.0,60.0,26.0,114.0,68.0,,46.0,,61.0,37.0,17.0,24.0,31.0,,,,24.0,119.0,,,,72.0,,,,15.0,43.0,,43.0,31.0,,17.0,,,,34.0,24.0,,25.0,12.0,,,31.0,,53.0,11.0,,36.0,19.0,,2024-07-02
427,28,+4,Michael BublÃ© - To Be Loved,3321,1,(x16),4508,282,11.581,,,,,,70.0,108.0,151.0,,88.0,,14.0,,,30.0,65.0,,75.0,,24.0,25.0,29.0,48.0,,101.0,57.0,,14.0,,61.0,27.0,40.0,,30.0,,12.0,8.0,,,,39.0,47.0,132.0,,30.0,30.0,,,,17.0,42.0,,28.0,21.0,46.0,,21.0,,,,2024-07-02
428,29,=,Teddy Swims - I've Tried Everything But Therapy,288,2,(x3),4479,93,1.632,29.0,9.0,61.0,18.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
429,30,-12,Johnny Cash - Songwriter,6,4,,4475,-882,0.039,15.0,27.0,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
430,31,+9,Various Artists - Bridgerton Season Three,48,1,(x1),4301,694,0.331,23.0,70.0,30.0,48.0,,,,11.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
431,32,+2,Fleetwood Mac - Greatest Hits,2684,4,,4223,128,8.005,48.0,110.0,,5.0,,,35.0,36.0,,,,,,,,59.0,,,,38.0,,,,,,46.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,2024-07-02
432,33,-7,Bon Jovi - Forever,27,1,(x9),3962,-793,0.259,91.0,92.0,24.0,45.0,15.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
433,34,+1,"Shaboozey - Where I've Been, Isn't Where I'm Going",34,5,,3938,-82,0.18,6.0,15.0,79.0,47.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
434,35,+2,Whitney Houston - The Ultimate Collection,2704,2,(x4),3881,16,9.545,,,172.0,,,28.0,56.0,,64.0,95.0,,73.0,,70.0,,71.0,,150.0,,,45.0,76.0,,21.0,75.0,38.0,,31.0,36.0,35.0,45.0,33.0,57.0,,52.0,33.0,29.0,31.0,,,,58.0,82.0,,,28.0,,4.0,,,,4.0,84.0,,70.0,,,40.0,,,2024-07-02
435,36,+7,"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya - The Greatest Showman",1197,13,,3865,397,3.943,108.0,76.0,,102.0,,68.0,,137.0,,,,16.0,,,101.0,,,,,36.0,29.0,,,,22.0,25.0,,21.0,,38.0,20.0,,,11.0,25.0,,,,,,,37.0,,,,,,,,,,,,,,,,,,51.0,2024-07-02
436,37,-1,Dua Lipa - Radical Optimism,59,1,(x4),3719,-203,0.409,,6.0,27.0,53.0,124.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
437,38,+1,"Jax - Dear Joe,",5,33,,3703,84,0.018,8.0,,88.0,9.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
438,39,+8,Coldplay - X&Y,182,39,,3559,644,0.584,140.0,18.0,55.0,6.0,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
439,40,+4,P!nk - Greatest Hits...So Far,3626,4,,3368,117,12.047,,58.0,,111.0,,58.0,,125.0,,,,,,,,42.0,,,,79.0,,,,14.0,,26.0,12.0,,23.0,13.0,,42.0,39.0,,,,,,18.0,,50.0,,34.0,,,18.0,,,,,34.0,,95.0,,14.0,,12.0,24.0,,,2024-07-02
440,41,+9,Muse - Drones,1209,1,(x32),2911,157,5.502,,,,,,76.0,30.0,,52.0,134.0,144.0,96.0,,87.0,58.0,70.0,37.0,,143.0,,,,90.0,,97.0,,25.0,94.0,,,,73.0,,,,80.0,,,,,,,105.0,,,,40.0,,,,,,,36.0,44.0,,,,7.0,,2024-07-02
441,42,+9,Wilco - Hot Sun Cool Shroud - EP,5,9,,2898,178,0.023,34.0,,32.0,,,,,30.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
442,43,-5,ABBA - ABBA Gold: Greatest Hits,1097,1,(x9),2873,-800,7.137,44.0,32.0,45.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
443,44,+28,Nickelback - All the Right Reasons,28,44,,2845,880,0.42,17.0,193.0,,27.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
444,45,+7,Lady Gaga & Bradley Cooper - A Star Is Born Soundtrack,1819,1,(x79),2797,118,9.041,,,,132.0,,37.0,87.0,142.0,58.0,,159.0,,,86.0,,,,,,52.0,,,,,28.0,49.0,26.0,109.0,,51.0,95.0,20.0,,,,,,,20.0,,41.0,,,39.0,,45.0,,,,,,,,24.0,32.0,,19.0,13.0,,34.0,2024-07-02
445,46,+2,AC/DC - Rock or Bust,1380,1,(x13),2749,-73,5.54,,,176.0,,,34.0,86.0,,50.0,104.0,,,,104.0,,,52.0,,,,,83.0,,58.0,,,17.0,,46.0,,,27.0,26.0,,,47.0,,,28.0,,23.0,,48.0,,,31.0,,,,,,,65.0,,36.0,,30.0,34.0,9.0,,2024-07-02
446,47,+2,Avril Lavigne - Greatest Hits,13,1,(x1),2702,-58,0.059,,4.0,86.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
447,48,+16,Creedence Clearwater Revival - Chronicle: The 20 Greatest Hits,1325,26,,2693,598,3.816,32.0,,,13.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
448,49,+41,AC/DC - Back In Black,677,4,,2685,1086,3.508,70.0,,41.0,141.0,,,,136.0,3.0,,,,,85.0,,,117.0,,,,,86.0,,,,,,,,,,67.0,,,,85.0,102.0,,,,,,,,,,,,,,,,62.0,,29.0,,,32.0,41.0,,2024-07-02
449,50,-19,Benson Boone - Fireworks & Rollerblades,90,2,(x1),2669,-1608,0.495,36.0,35.0,,,,,,25.0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
450,51,+25,Coldplay - Parachutes,261,10,,2650,768,2.503,,5.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
451,52,+3,The xx - xx,1149,14,,2634,140,5.62,,,,152.0,,51.0,28.0,,59.0,92.0,137.0,,,103.0,104.0,87.0,108.0,,,,,,,46.0,,30.0,31.0,,,36.0,,62.0,,,,,,,,,,,,,,,,,,,,,,11.0,97.0,,,,,,2024-07-02
452,53,-12,CÃ©line Dion - My Love - Essential Collection,1616,28,,2599,-895,5.1,104.0,33.0,,,,,,,,,,,,,,,,107.0,,,30.0,,,,68.0,,,11.0,,,30.0,,,28.0,15.0,,,,,,,23.0,,,,,,20.0,52.0,13.0,,11.0,,,,13.0,,,,38.0,2024-07-02
453,54,-12,CÃ©line Dion - I AM: CELINE DION,13,14,,2559,-933,0.057,,52.0,6.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
454,55,+1,Various Artists - 80s 100 Hits,2185,36,,2498,138,4.026,,,,,,,55.0,,94.0,50.0,,,,,,,,,76.0,31.0,,,,,,,20.0,,,,,5.0,,,,,,,9.0,,8.0,,,22.0,,8.0,22.0,6.0,,,24.0,95.0,,17.0,4.0,,3.0,3.0,,,2024-07-02
455,56,-11,Taylor Swift - Fearless,523,1,(x6),2463,-579,2.461,51.0,64.0,,,,,,43.0,,,,,,,3.0,,,,,,,,,,,,,95.0,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,2024-07-02
456,57,-3,Taylor Swift - 1989,3454,1,(x43),2442,-129,20.885,25.0,94.0,,39.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,2024-07-02
457,58,-12,Various Artists - Furious 7,2547,1,(x37),2420,-515,7.374,,,,,,64.0,,,,,,,37.0,,91.0,,,40.0,110.0,,32.0,,,,51.0,,,18.0,,,60.0,91.0,,52.0,19.0,,,,,,,61.0,,,,,,,18.0,27.0,,75.0,75.0,,37.0,,,,,122.0,2024-07-02
458,59,=,Pink Floyd - The Endless River,1870,1,(x5),2334,170,5.15,,,,,,,,,,,,,10.0,64.0,81.0,,,,103.0,,,43.0,67.0,,,,30.0,,75.0,,,46.0,,,,26.0,38.0,36.0,,35.0,,8.0,,,,,31.0,,33.0,8.0,58.0,,72.0,30.0,25.0,,45.0,,25.0,,2024-07-02
459,60,+3,One Direction - Take Me Home,1641,1,(x11),2300,201,7.418,,,,144.0,,,,141.0,,,,100.0,110.0,,28.0,,,,,93.0,38.0,,52.0,,,31.0,,40.0,,34.0,25.0,,,43.0,,41.0,78.0,,,23.0,,55.0,,,31.0,,,,,21.0,,,61.0,,,,,,,,2024-07-02
460,61,+38,Coldplay - A Rush of Blood to the Head,324,8,,2271,744,2.852,117.0,12.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
461,62,-2,Sia - 1000 Forms of Fear,1714,2,(x3),2270,109,7.456,,,,,,,82.0,145.0,78.0,102.0,,,,,,,44.0,,96.0,51.0,33.0,,,,123.0,51.0,,111.0,,,,29.0,,,,102.0,93.0,,33.0,,47.0,107.0,94.0,,,,12.0,,23.0,24.0,,30.0,112.0,,33.0,,,29.0,22.0,,2024-07-02
462,63,+8,Bruno Mars - 24K Magic,2115,1,(x9),2258,291,7.923,,,,,,,90.0,,,121.0,,45.0,,,,,,54.0,,57.0,39.0,,,,26.0,,,46.0,,70.0,15.0,,,29.0,46.0,,,,,,,,,,,,,19.0,,,,,111.0,,,,,,,183.0,2024-07-02
463,64,+9,Verschiedene Interpret:innen - The Very Best of Jazz: 50 Unforgettable Tracks,27,36,,2237,276,0.07,,,,,,,,,,,,39.0,90.0,120.0,74.0,,32.0,97.0,55.0,,,,,,29.0,,,72.0,,,100.0,,,,43.0,,,,38.0,,,,,,,,,,46.0,,,,,,45.0,,,23.0,,,2024-07-02
464,65,+9,Calvin Harris - Motion,2063,1,(x6),2224,267,6.33,,,,,,,,,,,,46.0,100.0,,20.0,,,,149.0,71.0,41.0,25.0,27.0,,,,,83.0,,77.0,,,,,,36.0,20.0,,,43.0,,76.0,,,41.0,,,38.0,41.0,,,,27.0,,,,,,36.0,,2024-07-02
465,66,+9,Arctic Monkeys - AM,3039,1,(x4),2171,249,9.75,,,,,,,26.0,130.0,,,,,,,,,48.0,,58.0,69.0,,,,67.0,,20.0,,,,,,22.0,,,,,,,,,,,,16.0,,44.0,4.0,,,,,,,16.0,16.0,,14.0,,,,2024-07-02
466,67,NEW,Rod Stewart - Some Guys Have All the Luck,300,16,,2141,1832,2.106,,182.0,,26.0,,3.0,,,,,,,,,,,,,,83.0,,,,,,80.0,,,,,,,,,,52.0,46.0,,,,,,,,,,,,,,,,54.0,,,,,,,,2024-07-02
467,68,-44,Megan Thee Stallion - MEGAN,5,5,,2137,-2722,0.029,2.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,18.0,,,,,,,,,,2024-07-02
468,69,+1,Depeche Mode - Delta Machine,881,2,(x9),2130,150,5.098,,,193.0,,,,73.0,,81.0,,,,,78.0,,,33.0,,154.0,,,,88.0,41.0,,,,,,,,14.0,44.0,,,46.0,,,17.0,,24.0,,128.0,,,11.0,38.0,,,,13.0,,,,15.0,,57.0,9.0,21.0,,2024-07-02
469,70,+18,RIIZE - RIIZING - The 1st Mini Album,16,6,,2129,498,0.048,,,,,10.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,2024-07-02
470,71,+8,David Guetta - Nothing But the Beat Ultimate,3845,1,(x7),2104,253,17.567,,,,,,,,,,,,40.0,,,77.0,,,,64.0,74.0,,13.0,24.0,,,,,,,,110.0,83.0,,,,21.0,26.0,33.0,,15.0,42.0,,,,,47.0,19.0,17.0,29.0,,50.0,,13.0,,39.0,,26.0,,40.0,,2024-07-02
471,72,-15,Kygo - KYGO,13,1,(x1),2078,-149,0.08,,71.0,14.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
472,73,-6,Michael Jackson - Michael Jackson's This Is It,695,39,,2065,18,3.9,,,,,,45.0,32.0,,51.0,94.0,,,,73.0,,,,,,,,,,56.0,,,21.0,,33.0,,,,45.0,,,,,,,,,,,35.0,,,,,,,,,101.0,,,,,,,,2024-07-02
473,74,+167,Various Artists - Bridgerton Season Two,92,2,(x1),2047,1168,0.428,56.0,,75.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
474,75,+7,Ed Sheeran - +,2522,6,,1995,190,9.2,,,,96.0,,,,120.0,,,,112.0,,,,85.0,,,,50.0,,,,59.0,135.0,18.0,,80.0,92.0,5.0,38.0,,,51.0,,,87.0,,,,,,,,,,,44.0,,,,,55.0,,,,,,,,2024-07-02
475,76,+1,Birdy - Birdy,1197,28,,1972,110,4.336,,,,,,48.0,25.0,,49.0,,124.0,,,,,44.0,,,,,,,,,,,22.0,,,42.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
476,77,NEW,Sanja Vucic - Makadam - EP,1,77,,1905,1905,0.002,,,,65.0,,5.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
477,78,+6,Michael Jackson - The Essential Michael Jackson,1244,12,,1890,150,4.882,126.0,,,107.0,,,38.0,,,,,,25.0,,92.0,,,,,,36.0,59.0,,,,,,,,37.0,,,,,,,49.0,,,,,,,,,,,,,,,74.0,,,43.0,,,,,,2024-07-02
478,79,-18,Nickelback - Get Rollin',105,1,(x1),1880,-244,0.475,78.0,,,21.0,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
479,80,-11,Linkin Park - LIVING THINGS,1223,1,(x11),1875,-117,5.914,,,173.0,,,32.0,,,55.0,,,,,,,,,134.0,,,,,,,61.0,,19.0,44.0,,65.0,,45.0,,44.0,50.0,,,,27.0,,,,98.0,,,43.0,,,,,,,,,67.0,,,,,,2024-07-02
480,81,-28,Red Velvet - Cosmic - EP,9,1,(x3),1869,-729,0.089,145.0,,,,88.0,,,,,,,49.0,,,,,,12.0,,,,,,,84.0,,,55.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2024-07-02
481,82,+56,Gracie Abrams - The Secret of Us,13,4,,1863,524,0.059,24.0,103.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,2024-07-02
482,83,=,Jim Croce - Greatest,190,50,,1814,58,0.321,10.0,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
483,84,+14,Bob Marley & The Wailers - Legend â The Best Of Bob Marley & The Wailers,429,3,(x3),1811,276,1.326,52.0,120.0,43.0,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
484,85,NEW,Neil Young - Greatest Hits,247,5,,1748,957,1.742,,,,10.0,,,,122.0,,,,,,,,,,,,,,,,,,59.0,,,,19.0,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,2024-07-02
485,86,-21,Taylor Swift - reputation,2332,1,(x21),1738,-329,8.931,26.0,66.0,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,2024-07-02
486,87,+106,Nirvana - Nevermind,2160,1,(x1),1736,672,7.533,114.0,,,15.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
487,88,-22,NOTHING MORE - CARNAL,6,10,,1723,-336,0.02,14.0,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
488,89,+2,Macklemore & Ryan Lewis - The Heist,965,7,,1704,123,5.184,,,,113.0,,36.0,96.0,118.0,60.0,,152.0,,,,,,,,,,,,,,,48.0,36.0,,,12.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
489,90,NEW,Peter Fox - Stadtaffe,138,62,,1657,1039,1.991,,,21.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
490,91,NEW,Wanda - Ende nie,19,54,,1646,1038,0.041,,,31.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
491,92,+12,Bruno Mars - Doo-Wops & Hooligans,3164,2,(x4),1633,136,11.022,,,,,139.0,,,,,,,58.0,,,105.0,,,,,,28.0,,81.0,,24.0,,,74.0,,43.0,54.0,,,36.0,33.0,,41.0,,,,,88.0,,,,,,,,,,,89.0,,,,,,,,2024-07-02
492,93,+12,Skrillex - Bangarang,859,4,,1612,129,4.621,,,,106.0,,46.0,,129.0,89.0,,,,,,,,55.0,,104.0,,,,,,,,34.0,,,22.0,,,,,,,71.0,,,,,,,,48.0,,,,,,,,,,56.0,,,,,,2024-07-02
493,94,+25,Various Artists - 2014 GRAMMYÂ® Nominees,1023,3,(x3),1600,164,4.145,,,,,,,,,,,,26.0,22.0,,,,,,,,44.0,,57.0,,54.0,,,64.0,,,,,,58.0,,,,,,,,84.0,,,,,,,,,,119.0,52.0,,,,,,,,2024-07-02
494,95,+11,Various Artists - Now That's What I Call a Summer Party,5,95,,1600,121,0.391,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
495,96,-3,Beatsteaks - PLEASE,5,71,,1600,32,0.009,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
