,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
252,53,-21,Red Velvet - Cosmic - EP,8,1,(x3),2598,-1686,0.087,95.0,,,,64.0,,,,,,,39.0,,,,,,2.0,,,,,,,67.0,,,34.0,,,9.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2024-07-01
253,54,-13,Taylor Swift - 1989,3453,1,(x43),2571,-698,20.883,32.0,66.0,,,,,,48.0,,,21.0,,,,,,,,,,,,,,,2.0,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,2024-07-01
254,55,-4,The xx - xx,1148,14,,2494,-155,5.617,,,,,,53.0,48.0,,47.0,81.0,137.0,,,117.0,113.0,89.0,103.0,,,,,61.0,,56.0,,30.0,28.0,,,37.0,,68.0,,,,,,,,,,,,,,,,,,,,,,10.0,105.0,,,,,,2024-07-01
255,56,-4,Various Artists - 80s 100 Hits,2184,36,,2360,-261,4.023,,,,,,,74.0,,83.0,39.0,,,,,,,,,144.0,33.0,,,,,,,17.0,,,,,11.0,,,,,,,12.0,,8.0,,,16.0,,5.0,19.0,6.0,,,24.0,95.0,,16.0,3.0,,3.0,5.0,,,2024-07-01
256,57,+22,Kygo - KYGO,12,1,(x1),2227,230,0.078,,155.0,18.0,,79.0,,,124.0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
257,58,+16,Rammstein - RAMMSTEIN,898,1,(x5),2173,128,2.948,,,33.0,,,44.0,,,74.0,,,,,,,,46.0,,,,,,,,,,25.0,,,,,71.0,,,,,,,,,34.0,,130.0,,,,,,38.0,,,,,,53.0,,,,5.0,,2024-07-01
258,59,+1,Pink Floyd - The Endless River,1869,1,(x5),2164,-207,5.147,,,,,,,,,,,,,13.0,77.0,90.0,,,,170.0,,,42.0,69.0,,,,27.0,,60.0,,,52.0,,,,25.0,38.0,36.0,,35.0,,7.0,,,,,28.0,,33.0,8.0,65.0,,73.0,29.0,24.0,,47.0,,26.0,,2024-07-01
259,60,+6,Sia - 1000 Forms of Fear,1713,2,(x3),2161,14,7.454,,,,,,,102.0,,66.0,91.0,,,,,,,38.0,,163.0,54.0,32.0,,,,120.0,51.0,,105.0,,,,35.0,,,,100.0,92.0,,36.0,,43.0,106.0,94.0,,,,10.0,,22.0,24.0,,30.0,115.0,,32.0,,,32.0,22.0,,2024-07-01
260,61,+116,Nickelback - Get Rollin',104,1,(x1),2124,937,0.473,74.0,,,15.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
261,62,+118,Charli XCX - BRAT,26,2,(x2),2123,951,0.124,42.0,114.0,,74.0,,,,135.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
262,63,+17,One Direction - Take Me Home,1640,1,(x11),2099,108,7.416,,,,157.0,,,,,,,,105.0,114.0,,37.0,,,,,95.0,37.0,,54.0,,,31.0,,35.0,,35.0,30.0,,,48.0,,40.0,77.0,,,23.0,,55.0,,,31.0,,,,,21.0,,,63.0,,,,,,,,2024-07-01
263,64,+9,Creedence Clearwater Revival - Chronicle: The 20 Greatest Hits,1324,26,,2095,46,3.813,47.0,,,20.0,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
264,65,-3,Taylor Swift - reputation,2331,1,(x21),2067,-203,8.929,23.0,33.0,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,2024-07-01
265,66,-5,NOTHING MORE - CARNAL,5,10,,2059,-282,0.018,10.0,,,71.0,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
266,67,+2,Michael Jackson - Michael Jackson's This Is It,694,39,,2047,-64,3.898,,,,,,46.0,52.0,,39.0,83.0,,,,85.0,,,,,,,,,,65.0,,,18.0,,18.0,,,,43.0,,,,,,,,,,,30.0,,,,,,,,,102.0,,,,,,,,2024-07-01
267,68,+9,Fleetwood Mac - Rumours,1913,3,(x2),1999,0,6.066,114.0,171.0,,4.0,,,,,,,,,,,,,,,,,,,,,,77.0,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
268,69,+26,Linkin Park - LIVING THINGS,1222,1,(x11),1992,184,5.913,,,198.0,,,34.0,,,43.0,,,,,,,,120.0,135.0,,,,,,,60.0,,16.0,39.0,,66.0,,51.0,,49.0,53.0,,,,30.0,,,,97.0,,,40.0,,,,,,,,,69.0,,,,,,2024-07-01
269,70,+11,Depeche Mode - Delta Machine,880,2,(x9),1980,-11,5.096,,,,,,,92.0,,69.0,,,,,92.0,,,26.0,,,,,,90.0,51.0,,,,,,,,20.0,42.0,,,45.0,115.0,,19.0,,24.0,,128.0,,,8.0,35.0,,,,14.0,,,,14.0,,57.0,11.0,21.0,,2024-07-01
270,71,+5,Bruno Mars - 24K Magic,2114,1,(x9),1967,-35,7.92,,,,,,,109.0,,,110.0,,52.0,,,,,,54.0,,59.0,38.0,,,,,,,42.0,,70.0,20.0,,,34.0,48.0,,,,,,,,,,,,,19.0,,,,,113.0,,,,,,,182.0,2024-07-01
