,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total,Region
202,Separ - Swagsucks,10,10.0,2,(x1),343009,1996879,Slovakia
203,Creeds - Push Up - Main Edit,72,,58,,38748,1992216,Slovakia
204,Separ - Ahoj Ahoj Čo Ty,96,6.0,6,,56278,1983544,Slovakia
205,Imagine Dragons - Thunder,140,25.0,1,(x7),44158,1967261,Slovakia
206,Pil C - HAWAII,73,9.0,1,(x1),106145,1966416,Slovakia
207,Juice WRLD - Lucid Dreams,148,1.0,10,,39864,1958361,Slovakia
208,Kendrick Lamar - Not Like Us,40,4.0,5,,101297,1934565,Slovakia
209,MEDUZA - Paradise,70,17.0,4,,48236,1928859,Slovakia
210,Trevor Daniel - Falling,75,11.0,6,,55806,1928672,Slovakia
211,Lady Gaga - Shallow,94,28.0,1,(x8),62613,1922554,Slovakia
212,Kordhell - Murder In My Mind,68,,20,,37808,1913872,Slovakia
213,Viktor Sheen - Sérum,87,1.0,10,,57268,1891916,Slovakia
214,Gracie Abrams - That’s So True,32,,11,,82790,1884840,Slovakia
215,Billie Eilish - WILDFLOWER,50,,21,,69690,1881921,Slovakia
216,Eminem - Lose Yourself,202,,94,,30143,1872007,Slovakia
217,Internet Money - Lemonade,70,13.0,4,,55586,1856920,Slovakia
218,Rosa Linn - SNAP,66,,17,,39793,1853070,Slovakia
219,Calin - Sangria,61,1.0,7,,53104,1841040,Slovakia
220,Pil C - Chcem mať s tebou bejby,63,4.0,5,,118828,1840612,Slovakia
221,Gunna - fukumean,52,2.0,9,,56067,1840563,Slovakia
222,Gleb - Mefek Pump It Up,97,5.0,2,(x1),74311,1839460,Slovakia
223,Travis Scott - MY EYES,54,1.0,8,,66581,1839049,Slovakia
224,Luca Brassi10x - Chlapec z panela,55,,28,,57480,1834609,Slovakia
225,Olivia Rodrigo - drivers license,72,14.0,1,(x4),92051,1832131,Slovakia
226,Pil C - CARA MIA,65,7.0,3,(x4),134167,1828324,Slovakia
227,Linkin Park - Numb,81,,27,,53026,1825688,Slovakia
228,Rihanna - S&M,70,,90,,33025,1821610,Slovakia
229,A$AP Rocky - I Smoked Away My Brain (I'm God x Demons Mashup),63,,49,,42017,1818371,Slovakia
230,Mr.Kitty - After Dark,74,,32,,31855,1813336,Slovakia
231,Calvin Harris - One Kiss,101,18.0,1,(x5),49080,1812967,Slovakia
