,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total,Region
1943,Robin Zoot - Hlavy na hlavy,11,,28,,26051,176644,Slovakia
1944,Big Shaq - Man's Not Hot,21,,30,,12551,176299,Slovakia
1945,g3ox_em - GigaChad Theme - Phonk House Version,10,,126,,19916,176080,Slovakia
1946,Naflexx - Wannabe,15,,29,,16654,175729,Slovakia
1947,Marpo - Choices,11,,27,,29169,175641,Slovakia
1948,Alessia Cara - Wild Things,27,,22,,9047,175371,Slovakia
1949,Sima - Ja,8,,75,,40242,175263,Slovakia
1950,Gabryell - Vadím Ti,7,,38,,37674,175231,Slovakia
1951,The Lumineers - Ophelia,54,,54,,12271,175172,Slovakia
1952,XXXTENTACION - Fuck Love,29,,25,,16844,175057,Slovakia
1953,Bazzi - I.F.L.Y.,17,,51,,13598,175053,Slovakia
1954,Nico & Vinz - Am I Wrong,48,18.0,2,(x7),5872,174678,Slovakia
1955,Anne-Marie - Alarm,37,,30,,7896,174605,Slovakia
1956,DMS - Dopamín,6,,31,,70241,174477,Slovakia
1957,Viktor Sheen - Poslední přání,7,1.0,10,,51300,174426,Slovakia
1958,Calvin Harris - Blame,34,15.0,1,(x6),10809,174127,Slovakia
1959,Travis Scott - TELEKINESIS,7,,38,,39756,174127,Slovakia
1960,Pil C - Neviem čo som mal,4,,17,,67550,174098,Slovakia
1961,Migos - Walk It Talk It,22,,25,,14239,174016,Slovakia
1962,Logic - Homicide,12,2.0,3,(x1),39968,173962,Slovakia
1963,Taylor Swift - I Can Do It With a Broken Heart,5,,30,,54009,173960,Slovakia
1964,Ego - Najlepší Kamarát,18,,20,,17225,173865,Slovakia
1965,P.A.T. - Zrkadlo,11,,90,,18319,173752,Slovakia
1966,Nick Jonas - Close,25,,17,,10421,173745,Slovakia
1967,Saul - Kráľ Nad Ránom,4,,17,,77121,173684,Slovakia
1968,Ben Cristovao - KARTÁČEK,6,,77,,33681,173551,Slovakia
1969,Kontrafakt - KF Ako Rolls,5,,22,,86970,173466,Slovakia
1970,Billie Eilish - bad guy,9,,11,,33631,173376,Slovakia
1971,Daya - Hide Away,42,,24,,7853,173221,Slovakia
1972,Ego - Môj Band,7,,16,,56735,172638,Slovakia
1973,Travis Scott - THANK GOD,5,1.0,7,,71300,172585,Slovakia
1974,Dalyb - blok123,12,,24,,31320,172530,Slovakia
1975,Childish Gambino - This Is America,14,3.0,3,(x1),27346,171657,Slovakia
1976,Drake - Nonstop,18,,11,,22396,171633,Slovakia
1977,21 Savage - Bank Account,28,,44,,8942,171607,Slovakia
1978,Ben Cristovao - Zasloužený,5,,39,,55077,171584,Slovakia
1979,Eminem - Fall,12,2.0,6,,32906,171553,Slovakia
1980,Solven - Out of Your Mind,5,1.0,3,(x1),78265,171495,Slovakia
1981,Sigala - Just Got Paid,26,,104,,7691,171319,Slovakia
1982,Felix Jaehn - Hot2Touch,32,,39,,9569,171307,Slovakia
1983,iamnotshane - Maybe My Soulmate Died,9,,34,,33552,170957,Slovakia
1984,Sergei Barracuda - Kouř,10,,25,,30440,170933,Slovakia
1985,Saul - Byť Tu Navždy,4,,18,,77059,170902,Slovakia
1986,Lizzo - Good As Hell,16,,64,,13967,170403,Slovakia
1987,Alan Walker - Tired,34,,61,,6974,170385,Slovakia
1988,Gleb - Brány,10,1.0,5,,54890,170348,Slovakia
1989,Kali - Nič sa nemení s IMT SMILE,8,,129,,22282,170242,Slovakia
1990,Hasan - Sám,17,,11,,21553,169978,Slovakia
1991,mgk - Bad Things - With Camila Cabello,24,,17,,10923,169753,Slovakia
1992,Ed Sheeran - Perfect Duet (Ed Sheeran & Beyoncé),18,2.0,4,,25555,169540,Slovakia
1993,J Balvin - In Da Getto,11,,87,,16971,169402,Slovakia
1994,Momo - Karma,8,,15,,39022,169393,Slovakia
1995,Viktor Sheen - Mlha,8,,13,,47718,168923,Slovakia
1996,Porsche Boy - c h c e l . s o m . i b a,8,,32,,34242,168741,Slovakia
1997,Gleb - Boyz n Da Hood,13,,13,,42091,168601,Slovakia
1998,Dalyb - fantázia,10,,27,,36664,168569,Slovakia
1999,Doechii - DENIAL IS A RIVER,6,,90,,31914,168541,Slovakia
2000,"Ego - Kým Sme Spolu, Nikdy Nebudeme Sami",19,,23,,15767,167959,Slovakia
2001,Nirvana - Something In The Way - Remastered,9,,46,,26414,167750,Slovakia
2002,Juice WRLD - Righteous,10,,38,,27204,167649,Slovakia
2003,Horkýže Slíže - Mam v p... na lehatku,10,,165,,18746,167453,Slovakia
2004,DMS - Nchdznm,12,,24,,27903,167346,Slovakia
2005,Black Eyed Peas - Meet Me Halfway,7,,149,,24747,167201,Slovakia
2006,Flume - Say It,36,,42,,7379,166875,Slovakia
2007,Vegedream - Ramenez la coupe à la maison,10,,95,,25905,166751,Slovakia
2008,Ego - Drzzy,6,,14,,58525,166693,Slovakia
2009,Snakehips - Don't Leave,26,,20,,12215,166622,Slovakia
2010,Sean Paul - No Lie,47,,74,,5365,166609,Slovakia
2011,Ego - Svitá,17,,17,,18410,166514,Slovakia
2012,Earth - Diamanty,8,,33,,28738,166386,Slovakia
2013,Kendrick Lamar - Money Trees,8,,133,,26739,166068,Slovakia
2014,Karel Gott - Srdce nehasnou,10,,11,,31257,166014,Slovakia
2015,Ektor - Další kapitola,6,,82,,35921,165993,Slovakia
2016,OneRepublic - Better Days,16,,111,,12116,165946,Slovakia
2017,James Arthur - Train Wreck,14,,137,,12922,165895,Slovakia
2018,Separ - Hejtklub89,7,,20,,48232,165851,Slovakia
2019,Viktor Sheen - Lows,4,,13,,78599,165777,Slovakia
2020,Snakehips - All My Friends,36,,30,,6989,165732,Slovakia
2021,XXXTENTACION - Look At Me!,28,,30,,14985,165589,Slovakia
2022,Billie Eilish - idontwannabeyouanymore,21,,107,,9628,165402,Slovakia
2023,Niall Horan - Nice To Meet Ya,13,,46,,16504,165277,Slovakia
2024,Arcane - The Line (from the series Arcane League of Legends),5,,66,,44989,164854,Slovakia
2025,Drake - Passionfruit,17,2.0,7,,19936,164851,Slovakia
2026,Kali - Som Rád,28,,111,,7822,164545,Slovakia
2027,Sam Smith - Diamonds,14,,96,,14877,164478,Slovakia
2028,Tones And I - Bad Child,13,,85,,15605,164431,Slovakia
2029,Marc E. Bassy - You & Me,28,,27,,9796,164119,Slovakia
2030,Billie Eilish - L’AMOUR DE MA VIE,4,,30,,63498,164032,Slovakia
2031,Niklas Dee - Not Fair,8,,123,,22501,163876,Slovakia
2032,Travis Scott - 4X4,4,,20,,66292,163686,Slovakia
2033,Nik Tendo - Goyard,7,1.0,7,,54256,163605,Slovakia
2034,Sia - The Greatest,15,8.0,4,,18430,163388,Slovakia
2035,Viktor Sheen - Kruh,7,,15,,47196,163238,Slovakia
2036,21 Savage - née-nah,5,,16,,54703,162956,Slovakia
2037,Charli xcx - Apple,6,,109,,29058,162625,Slovakia
2038,Hard Rico - Secret eyes,5,,37,,40508,162507,Slovakia
2039,Sergei Barracuda - Legendární,10,,26,,28990,162366,Slovakia
2040,Alok - Hear Me Now,30,,27,,9460,162309,Slovakia
2041,BTS - Boy With Luv,11,2.0,4,,33644,162228,Slovakia
2042,KXLLSWXTCH - WASTE,9,,91,,22006,161908,Slovakia
2043,BØRNS - Electric Love,24,,67,,14250,161859,Slovakia
2044,Zara Larsson - Ain't My Fault,26,,20,,10285,161831,Slovakia
2045,Harry Styles - Matilda,6,1.0,6,,56867,161699,Slovakia
2046,Yzomandias - NA ROHU,5,,13,,49078,161610,Slovakia
2047,Coldplay - Magic,58,12.0,2,(x3),5871,161574,Slovakia
2048,BLACKPINK - Pink Venom,7,,23,,32474,161500,Slovakia
2049,Yzomandias - Double Trouble,6,,13,,51419,161387,Slovakia
2050,6ix9ine - PUNANI,8,,24,,32911,161378,Slovakia
2051,Chris Brown - No Guidance,14,,40,,16375,161351,Slovakia
2052,Travis Scott - FRANCHISE,8,1.0,8,,42559,161265,Slovakia
2053,Ed Sheeran - Remember The Name,11,1.0,7,,38079,161022,Slovakia
2054,BoyWithUke - IDGAF,9,,52,,24161,161019,Slovakia
2055,Katy Perry - Dark Horse,65,15.0,2,(x6),4538,160994,Slovakia
2056,Ariana Grande - Dangerous Woman,28,,12,,11329,160954,Slovakia
2057,French Montana - No Stylist,18,,34,,14084,160821,Slovakia
2058,Khalid - Location,25,,35,,9415,160765,Slovakia
2059,MoonDeity - NEON BLADE,11,,141,,15629,160693,Slovakia
2060,Ava Max - Christmas Without You,8,,110,,23868,160500,Slovakia
2061,Lvcas Dope - Cesta,14,1.0,5,,27837,160474,Slovakia
2062,Dame - Milión Mínus,9,,16,,37703,159548,Slovakia
2063,Dame - JA JAJA JA,4,,27,,59160,159489,Slovakia
2064,Mabel - Mad Love,13,,43,,17712,159160,Slovakia
2065,Momo - Ako ty,4,,47,,49729,158824,Slovakia
2066,Samey - moondance,6,,19,,48060,158408,Slovakia
2067,Justin Bieber - Forever,8,,17,,35421,158406,Slovakia
2068,A Boogie Wit da Hoodie - Look Back At It,12,,27,,17912,158167,Slovakia
2069,flora cash - You're Somebody Else,13,,111,,13750,158112,Slovakia
2070,"Shakira - Whenever, Wherever",8,,114,,23579,158040,Slovakia
2071,Billie Eilish - THE GREATEST,4,,26,,64178,157959,Slovakia
2072,Enrique Iglesias - DUELE EL CORAZON,32,,36,,8624,157669,Slovakia
2073,Dua Lipa - Illusion,5,,66,,40313,157628,Slovakia
2074,Sia - Elastic Heart,63,7.0,4,,10094,157363,Slovakia
2075,Separ - Plyn,6,,21,,47945,157335,Slovakia
2076,Alan Murin - Vamos Bombas,6,,36,,34157,157216,Slovakia
2077,KYLE - Playinwitme,16,,28,,14167,157137,Slovakia
2078,Olivia Rodrigo - favorite crime,11,,91,,17156,157043,Slovakia
2079,"Baby Tate - Hey, Mickey!",6,,24,,38231,156961,Slovakia
2080,Ego - Ako To Cítiš,17,,24,,15946,156902,Slovakia
2081,Nik Tendo - Restart,9,,11,,42390,156868,Slovakia
2082,TKX - Celebrity Rehab,7,,16,,35553,156867,Slovakia
2083,Separ - Pancier,31,,41,,11050,156637,Slovakia
2084,6ix9ine - BILLY,24,,33,,13634,156292,Slovakia
2085,Sam Smith - Too Good At Goodbyes - Edit,8,5.0,3,(x1),24184,155774,Slovakia
2086,uniqe - ГЛАМУР,6,,122,,27937,155669,Slovakia
2087,KOJO - C’est la vie,8,,120,,21841,155422,Slovakia
2088,David Guetta - Don't Leave Me Alone,15,,28,,15449,155044,Slovakia
2089,Yzomandias - Adikt Freestyle Remix,7,1.0,7,,57214,154685,Slovakia
2090,Kendrick Lamar - squabble up,4,,54,,52764,154604,Slovakia
2091,Labrinth - Forever,9,,70,,20564,154519,Slovakia
2092,Kylie Minogue - Santa Baby,10,,63,,26602,154347,Slovakia
2093,Nik Tendo - Sex Hudba Drogy,12,,20,,29646,154336,Slovakia
2094,wifiskeleton - Nope your too late i already died,5,,66,,36925,154325,Slovakia
2095,DMS - Colštok,12,,13,,22242,154204,Slovakia
2096,Adele - When We Were Young,44,,23,,11850,154168,Slovakia
2097,Indila - Tourner Dans Le Vide,9,,96,,19660,154121,Slovakia
2098,Welshly Arms - Legendary,33,,75,,6201,153892,Slovakia
2099,Doja Cat - Ain't Shit,9,,51,,21617,153794,Slovakia
2100,Billie Eilish - Lost Cause,8,,17,,36178,153771,Slovakia
2101,Amy Macdonald - This Is The Life,8,,114,,21761,153721,Slovakia
2102,mgk - Home,17,,21,,15233,153457,Slovakia
2103,Viktor Sheen - Spaceship,6,,23,,46736,153107,Slovakia
2104,Charlie Puth - Left and Right (Feat. Jung Kook of BTS),9,,62,,25037,153084,Slovakia
2105,Måneskin - HONEY (ARE U COMING?),6,,22,,40982,153068,Slovakia
2106,Kenndog - Beethoven,11,,93,,16356,153046,Slovakia
2107,Billie Eilish - bellyache,19,,56,,11310,152695,Slovakia
2108,Viktor Sheen - OCD,4,,15,,71404,152631,Slovakia
2109,Pil C - Chlapci flexia,5,,11,,53397,152597,Slovakia
2110,Imagine Dragons - My Life,7,,28,,41376,152575,Slovakia
2111,Viktor Sheen - Domov můj,4,,17,,69164,152502,Slovakia
2112,Toby Romeo - Where The Lights Are Low,12,,128,,14325,152490,Slovakia
2113,Travis Scott - HYAENA,4,1.0,6,,74979,152441,Slovakia
2114,Ashnikko - Slumber Party,10,,56,,19668,152385,Slovakia
2115,Ektor - Bars,6,,105,,33052,152364,Slovakia
2116,Kygo - Here for You,50,,22,,5792,152241,Slovakia
2117,Labrinth - When I R.I.P.,8,,53,,25117,152213,Slovakia
2118,Joost - Europapa,4,,39,,48167,152207,Slovakia
2119,MILION+ - Z NULY NA STO,17,,27,,19073,152179,Slovakia
2120,Pop Smoke - Mood Swings,12,,104,,14377,152144,Slovakia
2121,Miro Žbirka - Vianocna,7,,65,,27232,152128,Slovakia
2122,Jonas Blue - By Your Side,32,,27,,8794,152107,Slovakia
2123,Tomy Kotty - Spálňa sôch,4,,42,,55018,152043,Slovakia
2124,Doja Cat - Get Into It (Yuh),10,,97,,17472,151995,Slovakia
2125,Aaron Smith - Dancin,18,,104,,10601,151695,Slovakia
2126,Dame - CÍTIM VŠADE HOVNO,4,,33,,50544,151618,Slovakia
2127,Kygo - Raging,43,,39,,6437,151501,Slovakia
2128,Twenty One Pilots - Shy Away,10,,35,,24352,151440,Slovakia
2129,¥$ - FIELD TRIP,4,,25,,58564,151362,Slovakia
2130,Gleb - Blbé príbehy vol.2,9,1.0,7,,51730,151282,Slovakia
2131,Lorde - Green Light,20,,15,,18013,151159,Slovakia
2132,Meghan Trainor - All About That Bass,33,12.0,2,(x2),7277,151158,Slovakia
2133,Viktor Sheen - Sám proti sobě,4,,16,,70147,150978,Slovakia
2134,Billie Eilish - THE DINER,4,,35,,58384,150659,Slovakia
2135,Post Malone - Go Flex,29,,50,,8989,150652,Slovakia
2136,Hearts & Colors - Lighthouse - Andrelli Remix,35,,32,,8745,150549,Slovakia
2137,Memphis Cult - 9mm,7,,103,,23149,150449,Slovakia
2138,Nico Benz - Muhammad Ali,6,,146,,28494,150424,Slovakia
2139,Dame - BAZMEG,4,,29,,56431,150305,Slovakia
2140,Linkin Park - Two Faced,3,,21,,76521,150118,Slovakia
2141,Ariis - FUNK DO BOUNCE (Slowed),6,,138,,26396,149970,Slovakia
2142,Shimmi - IDEAS,8,,27,,29670,149873,Slovakia
2143,Måneskin - MAMMAMIA,7,,26,,31705,149849,Slovakia
2144,Gym Class Heroes - Cupid's Chokehold / Breakfast in America,10,,69,,18368,149706,Slovakia
2145,Pitbull - Hotel Room Service,5,,51,,39658,149427,Slovakia
2146,Dame - Achtung,8,,15,,38916,149252,Slovakia
2147,Stormzy - Own It,12,,48,,17957,149173,Slovakia
2148,DMS - Vinymočná,13,,18,,19184,149119,Slovakia
2149,Ego - Milenky,6,,19,,53786,148878,Slovakia
2150,OneRepublic - Start Again,14,,16,,21732,148868,Slovakia
2151,Nerieš - Kufre,3,1.0,10,,80622,148644,Slovakia
2152,Porsche Boy - d o d g e . v i p e r,6,,16,,45463,148499,Slovakia
2153,Viktor Sheen - Světlo,4,,20,,66699,148455,Slovakia
2154,Olly Alexander (Years & Years) - If You're Over Me,20,,41,,11985,148282,Slovakia
2155,Rainbow Kitten Surprise - It's Called: Freefall,7,,87,,23911,148121,Slovakia
2156,Sima - Pre Teba,15,,54,,15085,148061,Slovakia
2157,Gleb - taxikar,2,,14,,96494,147500,Slovakia
2158,Yzomandias - Ride or Die,5,,33,,41366,147271,Slovakia
2159,YG - Go Loko,13,,46,,14987,147230,Slovakia
2160,Pharrell Williams - Happy,75,12.0,2,(x4),3972,147195,Slovakia
2161,Fobia Kid - Arcade,9,,22,,28527,147091,Slovakia
2162,Gwen Stefani - You Make It Feel Like Christmas,8,,119,,37153,147032,Slovakia
2163,Olivia Rodrigo - brutal,9,,50,,24779,146950,Slovakia
2164,Ed Sheeran - Tenerife Sea,73,,37,,3822,146873,Slovakia
2165,DMS - Big Mac,12,,15,,20149,146765,Slovakia
2166,Mairee - Space Between,5,,19,,35973,146745,Slovakia
2167,Robin Zoot - Till I Die,11,,86,,17833,146699,Slovakia
2168,Kali - Nedotknutelný,36,,64,,6914,146642,Slovakia
2169,Milion Plus - Fuck Off,4,,12,,62797,146570,Slovakia
2170,Shawn Mendes - I Know What You Did Last Summer,26,,15,,9052,146532,Slovakia
2171,Alan Murin - Testy,5,,19,,42582,146455,Slovakia
2172,Momo - Vlci,9,,32,,30542,146128,Slovakia
2173,Lizzo - Good As Hell,11,,38,,19670,145916,Slovakia
2174,Imanbek - Goodbye,12,,138,,13899,145913,Slovakia
2175,Shawn Mendes - It'll Be Okay,9,,101,,19191,145862,Slovakia
2176,Yzomandias - Sold Out,14,,34,,18849,145849,Slovakia
2177,Jerry Lee - G.U.C.C.I.,8,,35,,27631,145799,Slovakia
2178,Hotel Ugly - Shut up My Moms Calling - (Sped Up),8,,140,,19682,145714,Slovakia
2179,Zedd - Get Low,21,,28,,13306,145602,Slovakia
2180,Sima - Víkend,7,,74,,29716,145554,Slovakia
2181,Nik Tendo - Strobo,6,,16,,51176,145504,Slovakia
2182,21 Savage - a lot,14,,23,,19946,145468,Slovakia
2183,One Direction - Perfect,29,3.0,1,(x1),15393,145410,Slovakia
2184,Normani - Motivation,13,,64,,13250,145310,Slovakia
2185,Khalid - OTW,17,,27,,13237,145282,Slovakia
2186,Nik Tendo - 6 Feet,6,1.0,8,,53186,145084,Slovakia
2187,Bebe Rexha - Last Hurrah,11,,14,,21061,145080,Slovakia
2188,Billie Eilish - my strange addiction,12,1.0,9,,28344,145026,Slovakia
2189,Gorillaz - Feel Good Inc,6,,161,,25224,145005,Slovakia
2190,Frayer Flexking - REALNESS,9,,112,,20046,144984,Slovakia
2191,Bing Crosby - Do You Hear What I Hear?,11,,85,,32678,144868,Slovakia
2192,Dalyb - bagstage,8,,26,,39384,144782,Slovakia
2193,KHANS - SilverBoys,18,,63,,10328,144579,Slovakia
2194,Odetari - GOOD LOYAL THOTS,8,,170,,18668,144396,Slovakia
2195,STEIN27 - DTB for Life,6,,41,,33153,144294,Slovakia
2196,Momo - Celý Hood,8,,25,,29961,144273,Slovakia
2197,Sima - Anonym Mood,13,,33,,16422,144263,Slovakia
2198,Fobia Kid - Chcel som iba nový skateboard,8,,48,,25956,144245,Slovakia
2199,Pil C - Jon Snow,5,,13,,49394,144197,Slovakia
2200,Imagine Dragons - Walking The Wire,33,,37,,11947,144156,Slovakia
2201,Katy Perry - Last Friday Night (T.G.I.F.),6,,155,,25451,144095,Slovakia
2202,CORPSE - E-GIRLS ARE RUINING MY LIFE!,12,,133,,13841,144010,Slovakia
2203,Separ - Všetci Za Jedného,10,,39,,22719,144003,Slovakia
2204,G-Eazy - Good Life,18,,11,,15886,143976,Slovakia
2205,Maroon 5 - Animals,35,13.0,3,(x3),6959,143933,Slovakia
2206,Chris Rea - Driving Home for Christmas,13,,14,,30371,143867,Slovakia
2207,50 Cent - In Da Club,9,,144,,23545,143842,Slovakia
2208,DMS - 100p,10,,29,,26828,143730,Slovakia
2209,Twenty One Pilots - Nico And The Niners,18,,25,,15599,143728,Slovakia
2210,Galantis - Runaway (U & I),72,,28,,4248,143498,Slovakia
2211,James Bay - Let It Go,57,,65,,3638,143482,Slovakia
2212,Milky Chance - Colorado,10,,100,,18006,143468,Slovakia
2213,Saul - Ringere,6,,52,,35143,142983,Slovakia
2214,Chase & Status - BACKBONE,5,,100,,30818,142902,Slovakia
2215,Dua Lipa - Fever,12,,118,,14290,142888,Slovakia
2216,Sima - Silnejšia,7,,91,,27503,142691,Slovakia
2217,Ariana Grande - Break Free,36,13.0,2,(x2),6491,142617,Slovakia
2218,Nicki Minaj - Bed,11,,19,,20413,142439,Slovakia
2219,Kontrafakt - Nemusíme,6,,15,,44818,142397,Slovakia
2220,Radikal Chef - Zentiva,8,,49,,24150,142283,Slovakia
2221,Lady Gaga - I'll Never Love Again - Film Version,17,,42,,12516,142212,Slovakia
2222,Linkin Park - Heavy,34,,24,,14519,142199,Slovakia
2223,Harry Styles - Music For a Sushi Restaurant,6,1.0,10,,50823,142101,Slovakia
2224,Labrinth - Never Felt So Alone,6,,48,,34476,142007,Slovakia
2225,MXZI - MONTAGEM TOMADA - Slowed,6,,142,,27614,141883,Slovakia
2226,Solven - We Came for Love,3,1.0,2,(x1),73712,141599,Slovakia
2227,CNCO - Reggaetón Lento (Remix),19,,38,,10063,141571,Slovakia
2228,Tones And I - Never Seen the Rain,13,,111,,11981,141322,Slovakia
2229,Mairee - V Meste Snov - Mairee Remix,6,,22,,36819,141235,Slovakia
2230,Gleb - SOUNDTRACK MALEJ METROPOLY,5,,16,,53380,141222,Slovakia
2231,Eminem - Kamikaze,10,2.0,5,,35914,141097,Slovakia
2232,MAGIC! - Rude,41,13.0,1,(x4),6576,140946,Slovakia
2233,6ix9ine - KIKA,15,,24,,20356,140896,Slovakia
2234,Tyga - Ayy Macarena,10,,56,,17553,140741,Slovakia
2235,Momo - Street Hamlet,4,,22,,44132,140630,Slovakia
2236,Eminem - Greatest,10,2.0,4,,37798,140554,Slovakia
2237,Kanye West - Runaway,7,,149,,21870,140397,Slovakia
2238,Gleb - Shit Talkin 600 feat. Ransmoukid,3,,38,,59118,140367,Slovakia
2239,Dua Lipa - Blow Your Mind (Mwah),44,,76,,4110,139770,Slovakia
2240,Lady Gaga - The Cure,16,,13,,14737,139759,Slovakia
2241,Alessia Cara - Here,38,,20,,6336,139690,Slovakia
2242,Saul - Dážď,3,,19,,75816,139594,Slovakia
2243,Linkin Park - One Step Closer,7,,79,,27343,139503,Slovakia
2244,Calin - Bounce,11,,168,,14396,139248,Slovakia
2245,Dominic Fike - 3 Nights,13,,28,,14882,138827,Slovakia
2246,Kali - Nejsom Ten Pravý,24,,104,,7283,138733,Slovakia
2247,Alan Murin - Povedz Prečo,4,,58,,41529,138682,Slovakia
2248,Linkin Park - Over Each Other,4,,41,,54217,138571,Slovakia
2249,Lady Gaga - Disease,5,,94,,31833,138518,Slovakia
2250,Sheppard - Geronimo,37,8.0,4,,7675,138462,Slovakia
2251,Gleb - Interview,9,,12,,43480,138414,Slovakia
2252,Fifth Harmony - Worth It,53,2.0,9,,6189,138403,Slovakia
2253,Ego - Bodák Je%ov,6,,21,,49106,138229,Slovakia
2254,Linkin Park - Up From the Bottom,4,,44,,50226,138170,Slovakia
2255,BLACKPINK - Shut Down,6,,17,,36712,138013,Slovakia
2256,The Chainsmokers - The One,20,,14,,16036,137837,Slovakia
2257,The Weeknd - Dancing In The Flames,4,,30,,52618,137836,Slovakia
2258,Dorian - Sladká,14,,157,,10849,137805,Slovakia
2259,The Chainsmokers - Somebody,14,,33,,12886,137591,Slovakia
2260,DMS - Klnfln,10,,33,,23609,137580,Slovakia
2261,Sima Martausová - Nenahraditeľná,20,,113,,8162,137408,Slovakia
2262,Dame - Ísť Preč,8,,18,,35812,137373,Slovakia
2263,Mustard - Pure Water,15,,76,,10700,137275,Slovakia
2264,Ely Oaks - Borderline,3,,42,,53275,137217,Slovakia
2265,Metallica - Master Of Puppets,7,,40,,28024,137014,Slovakia
2266,Gleb - BIG BOY FM,5,,18,,48965,136908,Slovakia
2267,Billie Eilish - SKINNY,3,,19,,70566,136635,Slovakia
2268,DMS - Wo Ist Mein Hund,11,,17,,19560,136394,Slovakia
2269,Kanye West - All Mine,9,2.0,2,(x1),29610,136218,Slovakia
2270,The Weeknd - Earned It (Fifty Shades Of Grey),47,3.0,10,,9011,136179,Slovakia
2271,XXXTENTACION - Everybody Dies In Their Nightmares,25,,29,,15350,135939,Slovakia
2272,Kiiara - Whippin,28,,35,,10882,135908,Slovakia
2273,The Chainsmokers - Everybody Hates Me,16,,13,,18998,135882,Slovakia
2274,Daft Punk - Get Lucky,31,,15,,15646,135820,Slovakia
2275,Khalid - Talk,8,,18,,20400,135771,Slovakia
2276,Bruno Mars - Finesse - Remix; feat. Cardi B,13,,28,,16048,135715,Slovakia
2277,Céline Dion - Happy Xmas (War Is Over),16,,43,,22318,135575,Slovakia
2278,Daddy Yankee - Dura,20,,63,,8687,135530,Slovakia
2279,Rihanna - Love On The Brain,32,,36,,9944,135489,Slovakia
2280,Felix Jaehn - Feel Good,34,,107,,4902,135486,Slovakia
2281,Frank Sinatra - Mistletoe And Holly - Remastered 1999,12,,78,,23685,135474,Slovakia
2282,Samey - saggujem jeans,2,,15,,93689,135332,Slovakia
2283,BTS - Permission to Dance,7,,30,,29072,135213,Slovakia
2284,WizTheMc - Show Me Love,5,,115,,31155,134591,Slovakia
2285,Alwyn Croix - Take Our Time,7,,34,,28288,134409,Slovakia
2286,David Kushner - Skin and Bones,4,,19,,48601,134354,Slovakia
2287,Ektor - Daň,11,,157,,14384,134259,Slovakia
2288,Cypis - Putin,5,1.0,7,,44055,134172,Slovakia
2289,Kendrick Lamar - DNA.,24,,11,,14669,134124,Slovakia
2290,Gleb - -10 000 AURA,4,,28,,48633,133928,Slovakia
2291,Michael Schulte - Waterfall,7,,136,,20292,133872,Slovakia
2292,Nik Tendo - NO PHONE,6,,20,,35662,133763,Slovakia
2293,Gleb - boo,5,,11,,50595,133587,Slovakia
2294,Creepy Nuts - Bling-Bang-Bang-Born,6,,119,,23836,133546,Slovakia
2295,Yzomandias - SELFMADE,12,,27,,20215,133413,Slovakia
2296,Luke Christopher - Lot to Learn,29,,35,,7611,133398,Slovakia
2297,Eternxlkz - SLAY!,5,,100,,29814,133373,Slovakia
2298,ScHoolboy Q - Collard Greens,10,,121,,14471,133307,Slovakia
2299,George Ezra - Budapest,68,,20,,4168,133294,Slovakia
2300,ZAYN - Still Got Time,22,,35,,9474,133227,Slovakia
2301,Dalyb - TAG,8,,34,,33487,132908,Slovakia
2302,Nerieš - Len,3,,22,,71869,132883,Slovakia
2303,Jaden Bojsen - LET'S GO,3,,25,,58171,132878,Slovakia
2304,Alan Walker - Sing Me to Sleep,38,,58,,5841,132782,Slovakia
2305,Kanye West - Follow God,6,1.0,7,,39947,132670,Slovakia
2306,Alvaro Soler - Sofia,33,,44,,6970,132648,Slovakia
2307,Ego - Doručím,5,,15,,57581,132511,Slovakia
2308,Lauv - There's No Way,16,,43,,11885,132490,Slovakia
2309,A Boogie Wit da Hoodie - Swervin,12,,36,,15635,132421,Slovakia
2310,Zedd - 365,13,,26,,18358,132343,Slovakia
2311,Saul - Mali,3,,23,,73352,132037,Slovakia
2312,Little Mix - Touch,24,,35,,10018,131973,Slovakia
2313,Ewa Farna - Na ostří nože,2,,11,,95449,131842,Slovakia
2314,Koky - SAVE,6,,157,,24264,131318,Slovakia
2315,Calvin Harris - Rollin,16,,36,,12082,131215,Slovakia
2316,mgk - I Think I'm OKAY,10,,29,,20193,131206,Slovakia
2317,Eagles - Please Come Home for Christmas - Eagles 2013 Remaster,5,,102,,29473,131170,Slovakia
2318,Mairee - Do Everything - Original Mix,8,,37,,30340,131049,Slovakia
2319,Kim Dracula - Paparazzi,9,,65,,17593,130983,Slovakia
2320,Cochise - Tell Em,10,,121,,14873,130968,Slovakia
2321,Central Cee - GBP,4,,46,,43941,130842,Slovakia
2322,Pil C - Silent Hill,22,,21,,14623,130681,Slovakia
2323,Skrillex - Would You Ever,19,,31,,13127,130622,Slovakia
2324,Future - Selfish,18,,26,,11946,130467,Slovakia
2325,Käärijä - Cha Cha Cha,4,,19,,46509,130202,Slovakia
2326,DMS - Prečo,11,,44,,20055,130178,Slovakia
2327,Noah Cyrus - July,13,,132,,11537,129849,Slovakia
2328,David Guetta - Hey Mama,37,7.0,2,(x1),10809,129760,Slovakia
2329,Taylor Swift - Snow On The Beach,5,,18,,45908,129705,Slovakia
2330,A R I Z O N A - Oceans Away,27,,41,,8624,129662,Slovakia
